kernel,size,impl,pytorch_ms,dsl_ms,elib_percent
add,large,tilelang,0.315,0.4229,74.49
add,large,triton,0.315,0.3519,89.51
add,small,tilelang,0.0266,0.1112,23.92
add,small,triton,0.0266,0.0705,37.73
argmax,large,tilelang,0.6221,11.9696,5.20
argmax,large,triton,0.6221,13.1798,4.72
argmax,small,tilelang,0.0312,0.2155,14.48
argmax,small,triton,0.0312,0.3609,8.65
attention,large,tilelang,3045.03,5458.97,55.78
attention,large,triton,3045.03,44.8258,6793.04
attention,small,tilelang,384.801,685.716,56.12
attention,small,triton,384.801,1.0544,36494.83
batched_matmul,large,tilelang,0.8112,11.5457,7.03
batched_matmul,large,triton,0.8112,0.8731,92.91
batched_matmul,small,tilelang,0.0787,0.1338,58.82
batched_matmul,small,triton,0.0787,0.0959,82.06
conv2d,large,tilelang,3.4591,27.461,12.60
conv2d,large,triton,3.4591,17.8812,19.34
conv2d,small,tilelang,0.0705,1.086,6.49
conv2d,small,triton,0.0705,0.161,43.79
cross_entropy,large,tilelang,5.5125,4.9651,111.02
cross_entropy,large,triton,5.5125,0.4869,1132.16
cross_entropy,small,tilelang,0.7895,0.2066,382.14
cross_entropy,small,triton,0.7895,0.1237,638.24
embedding,large,tilelang,2.1323,3.0397,70.15
embedding,large,triton,2.1323,0.4825,441.93
embedding,small,tilelang,0.181,0.2754,65.72
embedding,small,triton,0.181,0.0856,211.45
index_select,large,tilelang,0.0769,0.1394,55.16
index_select,large,triton,0.0769,0.1271,60.50
index_select,small,tilelang,0.0592,0.1392,42.53
index_select,small,triton,0.0592,0.0974,60.78
layer_norm,large,tilelang,0.3353,364.089,0.09
layer_norm,large,triton,0.3353,0.3782,88.66
layer_norm,small,tilelang,0.0373,3.2015,1.17
layer_norm,small,triton,0.0373,0.1657,22.51
leaky_relu,large,tilelang,68.0007,5.4766,1241.66
leaky_relu,large,triton,68.0007,15.8925,427.88
leaky_relu,small,tilelang,8.7708,0.83,1056.72
leaky_relu,small,triton,8.7708,2.1142,414.85
linear_activation,large,tilelang,36.0257,6.5664,548.64
linear_activation,large,triton,36.0257,49.7143,72.47
linear_activation,small,tilelang,0.6795,0.4852,140.05
linear_activation,small,triton,0.6795,0.5289,128.47
log_softmax,large,tilelang,0.449,2.6452,16.97
log_softmax,large,triton,0.449,1.0004,44.88
log_softmax,small,tilelang,0.0268,0.1365,19.63
log_softmax,small,triton,0.0268,0.1498,17.89
logsumexp,large,tilelang,2.4037,4.1753,57.57
logsumexp,large,triton,2.4037,0.5053,475.70
logsumexp,small,tilelang,0.1235,0.105,117.62
logsumexp,small,triton,0.1235,0.2413,51.18
matmul,large,tilelang,34.2362,42.8043,79.98
matmul,large,triton,34.2362,104.342,32.81
matmul,small,tilelang,0.0368,0.0984,37.40
matmul,small,triton,0.0368,0.093,39.57
matrix_transpose,large,tilelang,3.469,3.2291,107.43
matrix_transpose,large,triton,3.469,1.0201,340.06
matrix_transpose,small,tilelang,0.043,0.0918,46.84
matrix_transpose,small,triton,0.043,0.0831,51.74
max_reduction,large,tilelang,0.5595,11.9591,4.68
max_reduction,large,triton,0.5595,4.4144,12.67
max_reduction,small,tilelang,0.0363,0.2508,14.47
max_reduction,small,triton,0.0363,0.1296,28.01
mean_reduction,large,tilelang,0.7681,10.6478,7.21
mean_reduction,large,triton,0.7681,1.06,72.46
mean_reduction,small,tilelang,0.0315,0.1955,16.11
mean_reduction,small,triton,0.0315,0.0956,32.95
mul,large,tilelang,0.2165,0.3204,67.57
mul,large,triton,0.2165,0.3105,69.73
mul,small,tilelang,0.0305,0.0929,32.83
mul,small,triton,0.0305,0.079,38.61
relu,large,tilelang,0.7934,1.1614,68.31
relu,large,triton,0.7934,0.8316,95.41
relu,small,tilelang,0.0714,0.123,58.05
relu,small,triton,0.0714,0.0958,74.53
rms_norm,large,tilelang,2.5163,294.267,0.86
rms_norm,large,triton,2.5163,0.2954,851.83
rms_norm,small,tilelang,0.1652,2.8647,5.77
rms_norm,small,triton,0.1652,0.1071,154.25
softmax,large,tilelang,0.5435,2.8635,18.98
softmax,large,triton,0.5435,0.4685,116.01
softmax,small,tilelang,0.0264,3.5405,0.75
softmax,small,triton,0.0264,0.0878,30.07
swiglu,large,tilelang,1.1016,1.0573,104.19
swiglu,large,triton,1.1016,0.4124,267.12
swiglu,small,tilelang,0.0654,0.1682,38.88
swiglu,small,triton,0.0654,0.124,52.74
