kernel,size,impl,input_desc,latency_ms,peak_memory_mb
add,small,pytorch,"x:(4096,) y:(4096,) fp16",0.0171,10091.19
add,small,triton,"x:(4096,) y:(4096,) fp16",0.0352,10091.19
add,small,triton_tuned,"x:(4096,) y:(4096,) fp16",0.0351,10091.19
add,small,tilelang,"x:(4096,) y:(4096,) fp16",0.0685,10091.19
add,small,tilelang_tuned,"x:(4096,) y:(4096,) fp16",0.0682,10091.19
add,large,pytorch,"x:(64M,) y:(64M,) fp16",0.3055,10219.18
add,large,triton,"x:(64M,) y:(64M,) fp16",0.3233,10219.18
add,large,triton_tuned,"x:(64M,) y:(64M,) fp16",0.3232,10219.18
add,large,tilelang,"x:(64M,) y:(64M,) fp16",0.4369,10219.18
add,large,tilelang_tuned,"x:(64M,) y:(64M,) fp16",0.4373,10219.18
argmax,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0229,10091.19
argmax,small,triton,"x:(1024,1024) dim=1 fp16",0.2865,10091.19
argmax,small,triton_tuned,"x:(1024,1024) dim=1 fp16",0.09,10091.19
argmax,small,tilelang,"x:(1024,1024) dim=1 fp16",0.1705,10095.2
argmax,small,tilelang_tuned,"x:(1024,1024) dim=1 fp16",0.1198,10095.2
argmax,large,pytorch,"x:(8192,32768) dim=1 fp16",0.5379,10091.25
argmax,large,triton,"x:(8192,32768) dim=1 fp16",11.9976,10091.25
argmax,large,triton_tuned,"x:(8192,32768) dim=1 fp16",2.1395,10091.25
argmax,large,tilelang,"x:(8192,32768) dim=1 fp16",10.409,11115.28
argmax,large,tilelang_tuned,"x:(8192,32768) dim=1 fp16",9.1111,11115.28
attention,small,pytorch,"QKV:(8,16,512,64) fp32",287.2991,10115.38
attention,small,triton,"QKV:(8,16,512,64) fp32",1.1596,10147.31
attention,small,triton_tuned,"QKV:(8,16,512,64) fp32",0.6131,10179.31
attention,small,tilelang,"QKV:(8,16,512,64) fp32",509.2493,10115.36
attention,small,tilelang_tuned,"QKV:(8,16,512,64) fp32",505.6861,10115.36
attention,large,pytorch,"QKV:(8,32,2048,128) fp32",2270.552,10355.53
attention,large,triton,"QKV:(8,32,2048,128) fp32",41.5073,11379.31
attention,large,triton_tuned,"QKV:(8,32,2048,128) fp32",35.9983,12403.31
attention,large,tilelang,"QKV:(8,32,2048,128) fp32",4010.1393,10355.47
attention,large,tilelang_tuned,"QKV:(8,32,2048,128) fp32",3983.074,10355.47
batched_matmul,small,pytorch,"A:(64,128) B:(64,128,128) fp16",0.0463,10099.32
batched_matmul,small,triton,"A:(64,128) B:(64,128,128) fp16",0.0602,10099.32
batched_matmul,small,triton_tuned,"A:(64,128) B:(64,128,128) fp16",0.0605,10099.32
batched_matmul,small,tilelang,"A:(64,128) B:(64,128,128) fp16",0.1219,10103.39
batched_matmul,small,tilelang_tuned,"A:(64,128) B:(64,128,128) fp16",0.1222,10103.39
batched_matmul,large,pytorch,"A:(128,2048) B:(128,2048,2048) fp16",0.8123,10099.81
batched_matmul,large,triton,"A:(128,2048) B:(128,2048,2048) fp16",0.9063,10099.81
batched_matmul,large,triton_tuned,"A:(128,2048) B:(128,2048,2048) fp16",0.8294,10099.81
batched_matmul,large,tilelang,"A:(128,2048) B:(128,2048,2048) fp16",10.1486,12149.81
batched_matmul,large,tilelang_tuned,"A:(128,2048) B:(128,2048,2048) fp16",10.1478,12149.81
conv2d,small,pytorch,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0538,10109.38
conv2d,small,triton,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.1051,10103.18
conv2d,small,triton_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0906,10103.18
conv2d,small,tilelang,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.7469,10183.31
conv2d,small,tilelang_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.7509,10183.31
conv2d,large,pytorch,"x:(32,256,128,128) w:(256,256,3,3) fp16",3.8888,10869.31
conv2d,large,triton,"x:(32,256,128,128) w:(256,256,3,3) fp16",16.2962,10355.31
conv2d,large,triton_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",11.0579,10355.31
conv2d,large,tilelang,"x:(32,256,128,128) w:(256,256,3,3) fp16",26.128,17011.31
conv2d,large,tilelang_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",38.2775,17011.31
cross_entropy,small,pytorch,"logits:(256,1024) fp32",0.5894,10103.34
cross_entropy,small,triton,"logits:(256,1024) fp32",0.0635,10102.31
cross_entropy,small,triton_tuned,"logits:(256,1024) fp32",0.0623,10102.31
cross_entropy,small,tilelang,"logits:(256,1024) fp32",0.1405,10102.31
cross_entropy,small,tilelang_tuned,"logits:(256,1024) fp32",0.1404,10102.31
cross_entropy,large,pytorch,"logits:(4096,32768) fp32",5.4539,12150.52
cross_entropy,large,triton,"logits:(4096,32768) fp32",0.4741,11635.31
cross_entropy,large,triton_tuned,"logits:(4096,32768) fp32",0.4529,11635.31
cross_entropy,large,tilelang,"logits:(4096,32768) fp32",4.4867,11635.32
cross_entropy,large,tilelang_tuned,"logits:(4096,32768) fp32",4.5172,11635.32
embedding,small,pytorch,"w:(8192,256) idx:(2048,) fp16",0.1215,10102.33
embedding,small,triton,"w:(8192,256) idx:(2048,) fp16",0.0565,10099.31
embedding,small,triton_tuned,"w:(8192,256) idx:(2048,) fp16",0.0468,10099.31
embedding,small,tilelang,"w:(8192,256) idx:(2048,) fp16",0.2057,10110.33
embedding,small,tilelang_tuned,"w:(8192,256) idx:(2048,) fp16",0.2054,10110.33
embedding,large,pytorch,"w:(131072,1024) idx:(131072,) fp16",1.9895,10868.43
embedding,large,triton,"w:(131072,1024) idx:(131072,) fp16",0.4453,10099.31
embedding,large,triton_tuned,"w:(131072,1024) idx:(131072,) fp16",0.4361,10099.31
embedding,large,tilelang,"w:(131072,1024) idx:(131072,) fp16",2.9576,11380.43
embedding,large,tilelang_tuned,"w:(131072,1024) idx:(131072,) fp16",ERROR,ERROR
index_select,small,pytorch,"src:(4096,512) idx:(256,) fp16",0.0432,10099.56
index_select,small,triton,"src:(4096,512) idx:(256,) fp16",0.0596,10099.56
index_select,small,triton_tuned,"src:(4096,512) idx:(256,) fp16",0.0594,10099.56
index_select,small,tilelang,"src:(4096,512) idx:(256,) fp16",0.0908,10099.56
index_select,small,tilelang_tuned,"src:(4096,512) idx:(256,) fp16",0.0913,10099.56
index_select,large,pytorch,"src:(65536,2048) idx:(4096,) fp16",0.0747,10115.31
index_select,large,triton,"src:(65536,2048) idx:(4096,) fp16",0.1016,10115.31
index_select,large,triton_tuned,"src:(65536,2048) idx:(4096,) fp16",0.1021,10115.31
index_select,large,tilelang,"src:(65536,2048) idx:(4096,) fp16",0.1191,10115.32
index_select,large,tilelang_tuned,"src:(65536,2048) idx:(4096,) fp16",0.1182,10115.32
layer_norm,small,pytorch,"x:(512,1024) bf16",0.0279,10100.31
layer_norm,small,triton,"x:(512,1024) bf16",0.096,10100.31
layer_norm,small,triton_tuned,"x:(512,1024) bf16",0.0947,10100.31
layer_norm,small,tilelang,"x:(512,1024) bf16",3.0634,10104.32
layer_norm,small,tilelang_tuned,"x:(512,1024) bf16",0.9153,10104.32
layer_norm,large,pytorch,"x:(8192,8192) bf16",0.3067,10227.37
layer_norm,large,triton,"x:(8192,8192) bf16",0.3046,10227.37
layer_norm,large,triton_tuned,"x:(8192,8192) bf16",0.3025,10227.37
layer_norm,large,tilelang,"x:(8192,8192) bf16",348.5694,10739.37
layer_norm,large,tilelang_tuned,"x:(8192,8192) bf16",93.083,10739.37
leaky_relu,small,pytorch,"a:(4096,4096) b:(4096,4096) fp16",7.9975,10291.31
leaky_relu,small,triton,"a:(4096,4096) b:(4096,4096) fp16",2.3987,10131.31
leaky_relu,small,triton_tuned,"a:(4096,4096) b:(4096,4096) fp16",1.3429,10131.31
leaky_relu,small,tilelang,"a:(4096,4096) b:(4096,4096) fp16",0.8281,10131.31
leaky_relu,small,tilelang_tuned,"a:(4096,4096) b:(4096,4096) fp16",0.8544,10131.31
leaky_relu,large,pytorch,"a:(8192,8192) b:(8192,8192) fp16",61.2772,10867.31
leaky_relu,large,triton,"a:(8192,8192) b:(8192,8192) fp16",18.3006,10227.31
leaky_relu,large,triton_tuned,"a:(8192,8192) b:(8192,8192) fp16",10.9517,10227.31
leaky_relu,large,tilelang,"a:(8192,8192) b:(8192,8192) fp16",6.5274,10227.31
leaky_relu,large,tilelang_tuned,"a:(8192,8192) b:(8192,8192) fp16",6.4299,10227.31
linear_activation,small,pytorch,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.6095,10125.81
linear_activation,small,triton,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.4378,10101.31
linear_activation,small,triton_tuned,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.1417,10101.31
linear_activation,small,tilelang,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.3737,10136.81
linear_activation,small,tilelang_tuned,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.3645,10136.81
linear_activation,large,pytorch,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",33.514,10691.32
linear_activation,large,triton,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",46.2753,10163.31
linear_activation,large,triton_tuned,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",19.3575,10163.31
linear_activation,large,tilelang,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",6.1988,11043.32
linear_activation,large,tilelang_tuned,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",10.0587,11043.32
log_softmax,small,pytorch,"x:(512,1024) fp16",0.0224,10100.31
log_softmax,small,triton,"x:(512,1024) fp16",0.0816,10100.31
log_softmax,small,triton_tuned,"x:(512,1024) fp16",0.0827,10100.31
log_softmax,small,tilelang,"x:(512,1024) fp16",0.1024,10104.31
log_softmax,small,tilelang_tuned,"x:(512,1024) fp16",0.1015,10104.31
log_softmax,large,pytorch,"x:(4096,32768) fp16",0.4358,10355.31
log_softmax,large,triton,"x:(4096,32768) fp16",0.8999,10355.31
log_softmax,large,triton_tuned,"x:(4096,32768) fp16",0.8992,10355.31
log_softmax,large,tilelang,"x:(4096,32768) fp16",2.5736,11379.31
log_softmax,large,tilelang_tuned,"x:(4096,32768) fp16",4.0113,11379.31
logsumexp,small,pytorch,"x:(512,1024) fp32",0.0788,10101.31
logsumexp,small,triton,"x:(512,1024) fp32",0.1644,10099.32
logsumexp,small,triton_tuned,"x:(512,1024) fp32",0.1645,10099.32
logsumexp,small,tilelang,"x:(512,1024) fp32",0.0667,10099.31
logsumexp,small,tilelang_tuned,"x:(512,1024) fp32",0.0669,10099.31
logsumexp,large,pytorch,"x:(8192,16384) fp32",2.3778,10611.37
logsumexp,large,triton,"x:(8192,16384) fp32",0.4615,10099.43
logsumexp,large,triton_tuned,"x:(8192,16384) fp32",0.4618,10099.43
logsumexp,large,tilelang,"x:(8192,16384) fp32",1.3935,10099.34
logsumexp,large,tilelang_tuned,"x:(8192,16384) fp32",0.5666,10099.34
matmul,small,pytorch,"A:(512,512) B:(512,512) fp16",0.0309,10099.81
matmul,small,triton,"A:(512,512) B:(512,512) fp16",0.0716,10099.81
matmul,small,triton_tuned,"A:(512,512) B:(512,512) fp16",0.0598,10099.81
matmul,small,tilelang,"A:(512,512) B:(512,512) fp16",0.0721,10099.81
matmul,small,tilelang_tuned,"A:(512,512) B:(512,512) fp16",0.0641,10099.81
