kernel,size,impl,input_desc,latency_ms,peak_memory_mb
add,small,pytorch,"x:(4096,) y:(4096,) fp16",0.021,10091.19
add,small,triton,"x:(4096,) y:(4096,) fp16",0.0622,10091.19
add,small,tilelang,"x:(4096,) y:(4096,) fp16",0.0968,10091.19
add,large,pytorch,"x:(64M,) y:(64M,) fp16",0.3112,10219.18
add,large,triton,"x:(64M,) y:(64M,) fp16",0.3429,10219.18
add,large,tilelang,"x:(64M,) y:(64M,) fp16",0.4176,10219.18
argmax,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0267,10091.19
argmax,small,triton,"x:(1024,1024) dim=1 fp16",0.1222,10091.19
argmax,small,tilelang,"x:(1024,1024) dim=1 fp16",0.147,10095.2
argmax,large,pytorch,"x:(8192,32768) dim=1 fp16",0.6212,10091.25
argmax,large,triton,"x:(8192,32768) dim=1 fp16",2.4409,10091.25
argmax,large,tilelang,"x:(8192,32768) dim=1 fp16",10.4902,11115.28
attention,small,pytorch,"QKV:(8,16,512,64) fp32",322.0374,10115.38
attention,small,triton,"QKV:(8,16,512,64) fp32",0.6484,10147.31
attention,small,tilelang,"QKV:(8,16,512,64) fp32",588.2843,10107.23
attention,large,pytorch,"QKV:(8,32,2048,128) fp32",2559.7504,10355.53
attention,large,triton,"QKV:(8,32,2048,128) fp32",33.2809,11379.31
attention,large,tilelang,"QKV:(8,32,2048,128) fp32",4710.8244,10347.34
batched_matmul,small,pytorch,"A:(64,128) B:(64,128,128) fp16",0.0675,10099.32
batched_matmul,small,triton,"A:(64,128) B:(64,128,128) fp16",0.0977,10099.32
batched_matmul,small,tilelang,"A:(64,128) B:(64,128,128) fp16",0.1463,10095.23
batched_matmul,large,pytorch,"A:(128,2048) B:(128,2048,2048) fp16",0.8024,10099.81
batched_matmul,large,triton,"A:(128,2048) B:(128,2048,2048) fp16",0.82,10099.81
batched_matmul,large,tilelang,"A:(128,2048) B:(128,2048,2048) fp16",0.8519,10091.68
conv2d,small,pytorch,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0665,10109.38
conv2d,small,triton,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.1351,10103.18
