kernel,size,impl,input_desc,latency_ms,peak_memory_mb
add,small,pytorch,"x:(4096,) y:(4096,) fp16",0.0211,10091.19
add,small,triton,"x:(4096,) y:(4096,) fp16",0.0617,10091.19
add,small,triton_tuned,"x:(4096,) y:(4096,) fp16",0.0643,10091.19
add,small,tilelang,"x:(4096,) y:(4096,) fp16",0.0976,10091.19
add,small,tilelang_tuned,"x:(4096,) y:(4096,) fp16",0.0954,10091.19
add,large,pytorch,"x:(64M,) y:(64M,) fp16",0.3109,10219.18
add,large,triton,"x:(64M,) y:(64M,) fp16",0.3448,10219.18
add,large,triton_tuned,"x:(64M,) y:(64M,) fp16",0.3454,10219.18
add,large,tilelang,"x:(64M,) y:(64M,) fp16",0.4181,10219.18
add,large,tilelang_tuned,"x:(64M,) y:(64M,) fp16",0.418,10219.18
argmax,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0265,10091.19
argmax,small,triton,"x:(1024,1024) dim=1 fp16",0.1218,10091.19
argmax,small,triton_tuned,"x:(1024,1024) dim=1 fp16",0.1232,10091.19
argmax,small,tilelang,"x:(1024,1024) dim=1 fp16",0.146,10095.2
argmax,small,tilelang_tuned,"x:(1024,1024) dim=1 fp16",0.1469,10095.2
argmax,large,pytorch,"x:(8192,32768) dim=1 fp16",0.6216,10091.25
argmax,large,triton,"x:(8192,32768) dim=1 fp16",2.4393,10091.25
argmax,large,triton_tuned,"x:(8192,32768) dim=1 fp16",2.4412,10091.25
argmax,large,tilelang,"x:(8192,32768) dim=1 fp16",10.4982,11115.28
argmax,large,tilelang_tuned,"x:(8192,32768) dim=1 fp16",10.4889,11115.28
attention,small,pytorch,"QKV:(8,16,512,64) fp32",315.4446,10115.38
attention,small,triton,"QKV:(8,16,512,64) fp32",0.5541,10179.31
attention,small,triton_tuned,"QKV:(8,16,512,64) fp32",0.5486,10171.18
attention,small,tilelang,"QKV:(8,16,512,64) fp32",594.7296,10107.23
attention,small,tilelang_tuned,"QKV:(8,16,512,64) fp32",601.1712,10107.23
attention,large,pytorch,"QKV:(8,32,2048,128) fp32",2516.8274,10355.53
attention,large,triton,"QKV:(8,32,2048,128) fp32",40.606,12403.31
attention,large,triton_tuned,"QKV:(8,32,2048,128) fp32",40.2168,12395.18
attention,large,tilelang,"QKV:(8,32,2048,128) fp32",4670.1557,10347.34
attention,large,tilelang_tuned,"QKV:(8,32,2048,128) fp32",4815.0455,10347.34
batched_matmul,small,pytorch,"A:(64,128) B:(64,128,128) fp16",0.0677,10099.32
batched_matmul,small,triton,"A:(64,128) B:(64,128,128) fp16",0.0982,10099.32
batched_matmul,small,triton_tuned,"A:(64,128) B:(64,128,128) fp16",0.0988,10091.2
batched_matmul,small,tilelang,"A:(64,128) B:(64,128,128) fp16",0.1437,10095.23
batched_matmul,small,tilelang_tuned,"A:(64,128) B:(64,128,128) fp16",0.147,10095.23
batched_matmul,large,pytorch,"A:(128,2048) B:(128,2048,2048) fp16",0.8021,10099.81
batched_matmul,large,triton,"A:(128,2048) B:(128,2048,2048) fp16",0.8643,10099.81
batched_matmul,large,triton_tuned,"A:(128,2048) B:(128,2048,2048) fp16",0.8652,10091.68
batched_matmul,large,tilelang,"A:(128,2048) B:(128,2048,2048) fp16",0.8503,10091.68
batched_matmul,large,tilelang_tuned,"A:(128,2048) B:(128,2048,2048) fp16",0.8513,10091.68
conv2d,small,pytorch,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0666,10109.38
conv2d,small,triton,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.1311,10103.18
conv2d,small,triton_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.1311,10094.25
conv2d,small,tilelang,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.9146,10175.18
conv2d,small,tilelang_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.9237,10175.18
conv2d,large,pytorch,"x:(32,256,128,128) w:(256,256,3,3) fp16",3.4762,10869.31
conv2d,large,triton,"x:(32,256,128,128) w:(256,256,3,3) fp16",12.1014,10355.31
conv2d,large,triton_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",12.0968,10347.18
conv2d,large,tilelang,"x:(32,256,128,128) w:(256,256,3,3) fp16",5.8583,10613.06
conv2d,large,tilelang_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",5.8616,10613.06
cross_entropy,small,pytorch,"logits:(256,1024) fp32",0.649,10103.34
cross_entropy,small,triton,"logits:(256,1024) fp32",0.0996,10102.31
cross_entropy,small,triton_tuned,"logits:(256,1024) fp32",0.0991,10094.18
cross_entropy,small,tilelang,"logits:(256,1024) fp32",0.1797,10094.19
cross_entropy,small,tilelang_tuned,"logits:(256,1024) fp32",0.1748,10094.19
cross_entropy,large,pytorch,"logits:(4096,32768) fp32",5.5086,12150.52
cross_entropy,large,triton,"logits:(4096,32768) fp32",0.4616,11635.31
cross_entropy,large,triton_tuned,"logits:(4096,32768) fp32",0.4613,11627.18
cross_entropy,large,tilelang,"logits:(4096,32768) fp32",4.9213,11627.2
cross_entropy,large,tilelang_tuned,"logits:(4096,32768) fp32",4.918,11627.2
embedding,small,pytorch,"w:(8192,256) idx:(2048,) fp16",0.1471,10102.33
embedding,small,triton,"w:(8192,256) idx:(2048,) fp16",0.0744,10099.31
embedding,small,triton_tuned,"w:(8192,256) idx:(2048,) fp16",0.0724,10091.18
embedding,small,tilelang,"w:(8192,256) idx:(2048,) fp16",0.2327,10102.2
embedding,small,tilelang_tuned,"w:(8192,256) idx:(2048,) fp16",0.2322,10102.2
embedding,large,pytorch,"w:(131072,1024) idx:(131072,) fp16",2.1121,10868.43
embedding,large,triton,"w:(131072,1024) idx:(131072,) fp16",0.4623,10099.31
embedding,large,triton_tuned,"w:(131072,1024) idx:(131072,) fp16",0.4632,10091.18
embedding,large,tilelang,"w:(131072,1024) idx:(131072,) fp16",ERROR,ERROR
embedding,large,tilelang_tuned,"w:(131072,1024) idx:(131072,) fp16",ERROR,ERROR
index_select,small,pytorch,"src:(4096,512) idx:(256,) fp16",0.0505,10099.56
index_select,small,triton,"src:(4096,512) idx:(256,) fp16",0.0956,10099.56
index_select,small,triton_tuned,"src:(4096,512) idx:(256,) fp16",0.0944,10091.43
index_select,small,tilelang,"src:(4096,512) idx:(256,) fp16",0.1184,10091.43
