kernel,size,impl,input_desc,latency_ms,peak_memory_mb
add,small,pytorch,"x:(4096,) y:(4096,) fp16",0.0127,10091.19
add,small,triton,"x:(4096,) y:(4096,) fp16",0.0334,10091.19
add,small,tilelang,"x:(4096,) y:(4096,) fp16",0.0595,10091.19
add,large,pytorch,"x:(64M,) y:(64M,) fp16",0.1234,10219.18
add,large,triton,"x:(64M,) y:(64M,) fp16",0.1383,10219.18
add,large,tilelang,"x:(64M,) y:(64M,) fp16",0.182,10219.18
argmax,small,pytorch,"x:(1024,1024) dim=1 fp16",0.022,10091.19
argmax,small,triton,"x:(1024,1024) dim=1 fp16",0.0698,10091.19
argmax,small,tilelang,"x:(1024,1024) dim=1 fp16",0.0941,10095.2
argmax,large,pytorch,"x:(8192,32768) dim=1 fp16",0.3149,10091.25
argmax,large,triton,"x:(8192,32768) dim=1 fp16",1.1431,10091.25
argmax,large,tilelang,"x:(8192,32768) dim=1 fp16",5.2363,11115.28
attention,small,pytorch,"QKV:(8,16,512,64) fp32",341.551,10139.25
attention,small,triton,"QKV:(8,16,512,64) fp32",0.1762,10203.18
attention,small,tilelang,"QKV:(8,16,512,64) fp32",330.5853,10107.23
attention,large,pytorch,"QKV:(8,32,2048,128) fp32",2753.1692,10379.41
attention,large,triton,"QKV:(8,32,2048,128) fp32",14.2493,12427.18
attention,large,tilelang,"QKV:(8,32,2048,128) fp32",2599.8468,10347.34
batched_matmul,small,pytorch,"A:(64,128) B:(64,128,128) fp16",0.067,10123.2
batched_matmul,small,triton,"A:(64,128) B:(64,128,128) fp16",0.0566,10123.2
batched_matmul,small,tilelang,"A:(64,128) B:(64,128,128) fp16",0.1059,10095.23
batched_matmul,large,pytorch,"A:(128,2048) B:(128,2048,2048) fp16",0.3509,10123.68
batched_matmul,large,triton,"A:(128,2048) B:(128,2048,2048) fp16",0.5349,10123.68
batched_matmul,large,tilelang,"A:(128,2048) B:(128,2048,2048) fp16",0.3178,10091.68
conv2d,small,pytorch,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0526,10132.44
conv2d,small,triton,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0686,10126.25
conv2d,small,tilelang,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.6339,10175.18
conv2d,large,pytorch,"x:(32,256,128,128) w:(256,256,3,3) fp16",1.3523,10893.18
conv2d,large,triton,"x:(32,256,128,128) w:(256,256,3,3) fp16",9.813,10379.18
conv2d,large,tilelang,"x:(32,256,128,128) w:(256,256,3,3) fp16",2.2591,10613.06
cross_entropy,small,pytorch,"logits:(256,1024) fp32",0.5406,10127.21
cross_entropy,small,triton,"logits:(256,1024) fp32",0.0782,10126.18
cross_entropy,small,tilelang,"logits:(256,1024) fp32",0.1269,10094.19
cross_entropy,large,pytorch,"logits:(4096,32768) fp32",2.3228,12174.39
cross_entropy,large,triton,"logits:(4096,32768) fp32",0.1964,11659.18
cross_entropy,large,tilelang,"logits:(4096,32768) fp32",4.8327,11627.2
embedding,small,pytorch,"w:(8192,256) idx:(2048,) fp16",0.1071,10126.2
embedding,small,triton,"w:(8192,256) idx:(2048,) fp16",0.0339,10123.18
embedding,small,tilelang,"w:(8192,256) idx:(2048,) fp16",0.1886,10102.2
embedding,large,pytorch,"w:(131072,1024) idx:(131072,) fp16",1.725,10892.31
embedding,large,triton,"w:(131072,1024) idx:(131072,) fp16",0.1839,10123.18
embedding,large,tilelang,"w:(131072,1024) idx:(131072,) fp16",ERROR,ERROR
index_select,small,pytorch,"src:(4096,512) idx:(256,) fp16",0.025,10123.43
index_select,small,triton,"src:(4096,512) idx:(256,) fp16",0.0467,10123.43
