kernel,size,impl,input_desc,latency_ms,peak_memory_mb
add,small,pytorch,"x:(4096,) y:(4096,) fp16",0.0092,10091.19
add,small,triton,"x:(4096,) y:(4096,) fp16",0.0194,10091.19
add,small,triton_tuned,"x:(4096,) y:(4096,) fp16",0.0192,10091.19
add,small,tilelang,"x:(4096,) y:(4096,) fp16",0.0354,10091.19
add,small,tilelang_tuned,"x:(4096,) y:(4096,) fp16",0.0357,10091.19
add,large,pytorch,"x:(64M,) y:(64M,) fp16",0.1396,10219.18
add,large,triton,"x:(64M,) y:(64M,) fp16",0.1496,10219.18
add,large,triton_tuned,"x:(64M,) y:(64M,) fp16",0.1491,10219.18
add,large,tilelang,"x:(64M,) y:(64M,) fp16",0.1901,10219.18
add,large,tilelang_tuned,"x:(64M,) y:(64M,) fp16",0.19,10219.18
argmax,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0144,10091.19
argmax,small,triton,"x:(1024,1024) dim=1 fp16",0.27,10091.19
argmax,small,triton_tuned,"x:(1024,1024) dim=1 fp16",0.0552,10091.19
argmax,small,tilelang,"x:(1024,1024) dim=1 fp16",0.1116,10095.2
argmax,small,tilelang_tuned,"x:(1024,1024) dim=1 fp16",0.076,10095.2
argmax,large,pytorch,"x:(8192,32768) dim=1 fp16",0.3013,10091.25
argmax,large,triton,"x:(8192,32768) dim=1 fp16",12.2624,10091.25
argmax,large,triton_tuned,"x:(8192,32768) dim=1 fp16",1.2193,10091.25
argmax,large,tilelang,"x:(8192,32768) dim=1 fp16",5.1093,11115.28
argmax,large,tilelang_tuned,"x:(8192,32768) dim=1 fp16",5.0585,11115.28
attention,small,pytorch,"QKV:(8,16,512,64) fp32",192.1489,10139.25
attention,small,triton,"QKV:(8,16,512,64) fp32",0.493,10171.18
attention,small,triton_tuned,"QKV:(8,16,512,64) fp32",0.4823,10139.18
attention,small,tilelang,"QKV:(8,16,512,64) fp32",265.1685,10107.23
attention,small,tilelang_tuned,"QKV:(8,16,512,64) fp32",268.3648,10107.23
attention,large,pytorch,"QKV:(8,32,2048,128) fp32",1514.7041,10379.41
attention,large,triton,"QKV:(8,32,2048,128) fp32",15.7847,11403.18
attention,large,triton_tuned,"QKV:(8,32,2048,128) fp32",15.8024,11371.18
attention,large,tilelang,"QKV:(8,32,2048,128) fp32",2137.0944,10347.34
attention,large,tilelang_tuned,"QKV:(8,32,2048,128) fp32",2150.4542,10347.34
batched_matmul,small,pytorch,"A:(64,128) B:(64,128,128) fp16",0.0248,10123.2
batched_matmul,small,triton,"A:(64,128) B:(64,128,128) fp16",0.0313,10123.2
batched_matmul,small,triton_tuned,"A:(64,128) B:(64,128,128) fp16",0.031,10091.2
batched_matmul,small,tilelang,"A:(64,128) B:(64,128,128) fp16",0.0519,10095.26
batched_matmul,small,tilelang_tuned,"A:(64,128) B:(64,128,128) fp16",0.0509,10095.26
batched_matmul,large,pytorch,"A:(128,2048) B:(128,2048,2048) fp16",0.3877,10123.68
batched_matmul,large,triton,"A:(128,2048) B:(128,2048,2048) fp16",0.3893,10123.68
batched_matmul,large,triton_tuned,"A:(128,2048) B:(128,2048,2048) fp16",0.3892,10091.68
batched_matmul,large,tilelang,"A:(128,2048) B:(128,2048,2048) fp16",6.0046,12141.68
batched_matmul,large,tilelang_tuned,"A:(128,2048) B:(128,2048,2048) fp16",6.0005,12141.68
conv2d,small,pytorch,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.035,10132.44
conv2d,small,triton,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.055,10126.25
conv2d,small,triton_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0558,10094.25
conv2d,small,tilelang,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.4195,10175.18
conv2d,small,tilelang_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.4169,10175.18
conv2d,large,pytorch,"x:(32,256,128,128) w:(256,256,3,3) fp16",1.3649,10893.18
conv2d,large,triton,"x:(32,256,128,128) w:(256,256,3,3) fp16",11.677,10379.18
conv2d,large,triton_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",11.6751,10347.18
conv2d,large,tilelang,"x:(32,256,128,128) w:(256,256,3,3) fp16",18.5937,17003.18
conv2d,large,tilelang_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",36.1943,17003.18
cross_entropy,small,pytorch,"logits:(256,1024) fp32",0.3295,10127.21
cross_entropy,small,triton,"logits:(256,1024) fp32",0.0387,10126.18
cross_entropy,small,triton_tuned,"logits:(256,1024) fp32",0.0372,10094.18
cross_entropy,small,tilelang,"logits:(256,1024) fp32",0.0802,10094.19
cross_entropy,small,tilelang_tuned,"logits:(256,1024) fp32",0.0798,10094.19
cross_entropy,large,pytorch,"logits:(4096,32768) fp32",2.6958,12174.39
cross_entropy,large,triton,"logits:(4096,32768) fp32",0.2074,11659.18
cross_entropy,large,triton_tuned,"logits:(4096,32768) fp32",0.2184,11627.18
cross_entropy,large,tilelang,"logits:(4096,32768) fp32",2.303,11627.2
cross_entropy,large,tilelang_tuned,"logits:(4096,32768) fp32",2.2524,11627.2
embedding,small,pytorch,"w:(8192,256) idx:(2048,) fp16",0.0624,10126.2
embedding,small,triton,"w:(8192,256) idx:(2048,) fp16",0.0373,10123.18
embedding,small,triton_tuned,"w:(8192,256) idx:(2048,) fp16",0.0366,10091.18
embedding,small,tilelang,"w:(8192,256) idx:(2048,) fp16",0.1168,10102.2
embedding,small,tilelang_tuned,"w:(8192,256) idx:(2048,) fp16",0.1183,10102.2
embedding,large,pytorch,"w:(131072,1024) idx:(131072,) fp16",1.0355,10892.31
embedding,large,triton,"w:(131072,1024) idx:(131072,) fp16",0.2123,10123.18
embedding,large,triton_tuned,"w:(131072,1024) idx:(131072,) fp16",0.2113,10091.18
embedding,large,tilelang,"w:(131072,1024) idx:(131072,) fp16",1.4565,11372.31
embedding,large,tilelang_tuned,"w:(131072,1024) idx:(131072,) fp16",ERROR,ERROR
index_select,small,pytorch,"src:(4096,512) idx:(256,) fp16",0.0174,10123.43
index_select,small,triton,"src:(4096,512) idx:(256,) fp16",0.0308,10123.43
index_select,small,triton_tuned,"src:(4096,512) idx:(256,) fp16",0.0313,10091.43
index_select,small,tilelang,"src:(4096,512) idx:(256,) fp16",0.0465,10091.43
index_select,small,tilelang_tuned,"src:(4096,512) idx:(256,) fp16",0.0467,10091.43
index_select,large,pytorch,"src:(65536,2048) idx:(4096,) fp16",0.0339,10139.18
index_select,large,triton,"src:(65536,2048) idx:(4096,) fp16",0.0465,10139.18
index_select,large,triton_tuned,"src:(65536,2048) idx:(4096,) fp16",0.0471,10107.18
index_select,large,tilelang,"src:(65536,2048) idx:(4096,) fp16",0.054,10107.2
index_select,large,tilelang_tuned,"src:(65536,2048) idx:(4096,) fp16",0.0543,10107.2
layer_norm,small,pytorch,"x:(512,1024) bf16",0.0132,10124.19
layer_norm,small,triton,"x:(512,1024) bf16",0.0508,10124.19
layer_norm,small,triton_tuned,"x:(512,1024) bf16",0.0508,10092.19
layer_norm,small,tilelang,"x:(512,1024) bf16",1.4528,10096.19
layer_norm,small,tilelang_tuned,"x:(512,1024) bf16",0.5859,10096.19
layer_norm,large,pytorch,"x:(8192,8192) bf16",0.1547,10251.25
layer_norm,large,triton,"x:(8192,8192) bf16",0.1763,10251.25
layer_norm,large,triton_tuned,"x:(8192,8192) bf16",0.1765,10219.25
layer_norm,large,tilelang,"x:(8192,8192) bf16",193.6155,10731.25
layer_norm,large,tilelang_tuned,"x:(8192,8192) bf16",49.981,10731.25
leaky_relu,small,pytorch,"a:(4096,4096) b:(4096,4096) fp16",3.6042,10315.18
leaky_relu,small,triton,"a:(4096,4096) b:(4096,4096) fp16",1.4878,10155.18
leaky_relu,small,triton_tuned,"a:(4096,4096) b:(4096,4096) fp16",0.9436,10123.18
leaky_relu,small,tilelang,"a:(4096,4096) b:(4096,4096) fp16",0.4977,10123.18
leaky_relu,small,tilelang_tuned,"a:(4096,4096) b:(4096,4096) fp16",0.6765,10123.18
leaky_relu,large,pytorch,"a:(8192,8192) b:(8192,8192) fp16",29.9136,10891.18
leaky_relu,large,triton,"a:(8192,8192) b:(8192,8192) fp16",12.6735,10251.18
leaky_relu,large,triton_tuned,"a:(8192,8192) b:(8192,8192) fp16",8.8694,10219.18
leaky_relu,large,tilelang,"a:(8192,8192) b:(8192,8192) fp16",4.8709,10219.18
leaky_relu,large,tilelang_tuned,"a:(8192,8192) b:(8192,8192) fp16",4.6705,10219.18
linear_activation,small,pytorch,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.282,10149.69
linear_activation,small,triton,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.3043,10125.18
linear_activation,small,triton_tuned,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.1377,10093.18
linear_activation,small,tilelang,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.216,10128.69
linear_activation,small,tilelang_tuned,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.2158,10128.69
linear_activation,large,pytorch,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",17.3224,10715.2
linear_activation,large,triton,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",37.1426,10187.18
linear_activation,large,triton_tuned,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",8.0752,10155.18
linear_activation,large,tilelang,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",3.5035,11035.2
linear_activation,large,tilelang_tuned,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",3.6862,11035.2
log_softmax,small,pytorch,"x:(512,1024) fp16",0.0106,10124.18
log_softmax,small,triton,"x:(512,1024) fp16",0.0417,10124.18
log_softmax,small,triton_tuned,"x:(512,1024) fp16",0.0425,10092.18
log_softmax,small,tilelang,"x:(512,1024) fp16",0.084,10096.18
log_softmax,small,tilelang_tuned,"x:(512,1024) fp16",0.0522,10096.18
log_softmax,large,pytorch,"x:(4096,32768) fp16",0.2201,10379.18
log_softmax,large,triton,"x:(4096,32768) fp16",ERROR,ERROR
log_softmax,large,triton_tuned,"x:(4096,32768) fp16",ERROR,ERROR
log_softmax,large,tilelang,"x:(4096,32768) fp16",1.2647,11371.18
log_softmax,large,tilelang_tuned,"x:(4096,32768) fp16",2.9728,11627.18
logsumexp,small,pytorch,"x:(512,1024) fp32",0.0434,10381.19
