kernel,size,impl,input_desc,latency_ms,peak_memory_mb
add,small,pytorch,"x:(4096,) y:(4096,) fp16",0.008,10091.19
add,small,triton,"x:(4096,) y:(4096,) fp16",0.019,10091.19
add,small,triton_tuned,"x:(4096,) y:(4096,) fp16",0.0189,10091.19
add,small,tilelang,"x:(4096,) y:(4096,) fp16",12.8418,10091.19
add,small,tilelang_tuned,"x:(4096,) y:(4096,) fp16",12.6991,10091.19
add,large,pytorch,"x:(64M,) y:(64M,) fp16",1.3108,10219.18
add,large,triton,"x:(64M,) y:(64M,) fp16",1.2991,10219.18
add,large,triton_tuned,"x:(64M,) y:(64M,) fp16",1.2818,10219.18
add,large,tilelang,"x:(64M,) y:(64M,) fp16",13.944,10219.18
add,large,tilelang_tuned,"x:(64M,) y:(64M,) fp16",13.904,10219.18
argmax,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0135,10091.19
argmax,small,triton,"x:(1024,1024) dim=1 fp16",0.1807,10091.19
argmax,small,triton_tuned,"x:(1024,1024) dim=1 fp16",0.0463,10091.19
argmax,small,tilelang,"x:(1024,1024) dim=1 fp16",15.0059,10095.2
argmax,small,tilelang_tuned,"x:(1024,1024) dim=1 fp16",14.8585,10095.2
argmax,large,pytorch,"x:(8192,32768) dim=1 fp16",1.6148,10091.25
argmax,large,triton,"x:(8192,32768) dim=1 fp16",6.2473,10091.25
argmax,large,triton_tuned,"x:(8192,32768) dim=1 fp16",2.2164,10091.25
argmax,large,tilelang,"x:(8192,32768) dim=1 fp16",35.6903,11115.28
argmax,large,tilelang_tuned,"x:(8192,32768) dim=1 fp16",35.8724,11115.28
attention,small,pytorch,"QKV:(8,16,512,64) fp32",118.569,10115.38
attention,small,triton,"QKV:(8,16,512,64) fp32",0.9128,10147.31
attention,small,triton_tuned,"QKV:(8,16,512,64) fp32",0.4933,10171.18
attention,small,tilelang,"QKV:(8,16,512,64) fp32",178.31,10107.23
attention,small,tilelang_tuned,"QKV:(8,16,512,64) fp32",182.0524,10107.23
attention,large,pytorch,"QKV:(8,32,2048,64) fp32",973.7073,520.19
attention,large,triton,"QKV:(8,32,2048,64) fp32",6.5496,776.12
attention,large,triton_tuned,"QKV:(8,32,2048,128) fp32",52.2224,12395.18
attention,large,tilelang,"QKV:(8,32,2048,128) fp32",1435.9004,10347.34
attention,large,tilelang_tuned,"QKV:(8,32,2048,128) fp32",1439.1278,10347.34
batched_matmul,small,pytorch,"A:(64,128) B:(64,128,128) fp16",0.02,10099.32
batched_matmul,small,triton,"A:(64,128) B:(64,128,128) fp16",0.0261,10099.32
batched_matmul,small,triton_tuned,"A:(64,128) B:(64,128,128) fp16",0.0264,10091.2
batched_matmul,small,tilelang,"A:(64,128) B:(64,128,128) fp16",14.8679,10095.26
batched_matmul,small,tilelang_tuned,"A:(64,128) B:(64,128,128) fp16",15.1721,10095.26
batched_matmul,large,pytorch,"A:(128,2048) B:(128,2048,2048) fp16",3.2381,10099.81
batched_matmul,large,triton,"A:(128,2048) B:(128,2048,2048) fp16",3.264,10099.81
batched_matmul,large,triton_tuned,"A:(128,2048) B:(128,2048,2048) fp16",5.5649,10091.68
batched_matmul,large,tilelang,"A:(128,2048) B:(128,2048,2048) fp16",35.4104,12141.68
batched_matmul,large,tilelang_tuned,"A:(128,2048) B:(128,2048,2048) fp16",36.0999,12141.68
conv2d,small,pytorch,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0588,10109.38
conv2d,small,triton,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.1203,10103.18
conv2d,small,triton_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.1187,10094.25
conv2d,small,tilelang,"x:(8,64,56,56) w:(64,64,3,3) fp16",119.7399,10175.18
conv2d,small,tilelang_tuned,"x:(8,64,56,56) w:(64,64,3,3) fp16",125.0162,10175.18
conv2d,large,pytorch,"x:(32,256,128,128) w:(256,256,3,3) fp16",10.9953,10869.31
conv2d,large,triton,"x:(32,256,128,128) w:(256,256,3,3) fp16",33.7551,10355.31
conv2d,large,triton_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",30.0609,10347.18
conv2d,large,tilelang,"x:(32,256,128,128) w:(256,256,3,3) fp16",485.3259,17003.18
conv2d,large,tilelang_tuned,"x:(32,256,128,128) w:(256,256,3,3) fp16",514.3976,17003.18
cross_entropy,small,pytorch,"logits:(256,1024) fp32",128.3501,10102.33
cross_entropy,small,triton,"logits:(256,1024) fp32",0.0295,10102.31
cross_entropy,small,triton_tuned,"logits:(256,1024) fp32",0.0304,10094.18
cross_entropy,small,tilelang,"logits:(256,1024) fp32",0.0952,10094.19
cross_entropy,small,tilelang_tuned,"logits:(256,1024) fp32",0.0973,10094.19
cross_entropy,large,pytorch,"logits:(4096,32768) fp32",15783.4912,11636.83
cross_entropy,large,triton,"logits:(4096,32768) fp32",1.871,11635.31
cross_entropy,large,triton_tuned,"logits:(4096,32768) fp32",1.6489,11627.18
cross_entropy,large,tilelang,"logits:(4096,32768) fp32",27.4104,11627.2
cross_entropy,large,tilelang_tuned,"logits:(4096,32768) fp32",27.0183,11627.2
embedding,small,pytorch,"w:(8192,256) idx:(2048,) fp16",0.0451,10102.33
embedding,small,triton,"w:(8192,256) idx:(2048,) fp16",0.0328,10099.31
embedding,small,triton_tuned,"w:(8192,256) idx:(2048,) fp16",0.0268,10091.18
embedding,small,tilelang,"w:(8192,256) idx:(2048,) fp16",15.1953,10102.2
embedding,small,tilelang_tuned,"w:(8192,256) idx:(2048,) fp16",15.8205,10102.2
embedding,large,pytorch,"w:(131072,1024) idx:(131072,) fp16",6.9273,10868.43
embedding,large,triton,"w:(131072,1024) idx:(131072,) fp16",1.6971,10099.31
embedding,large,triton_tuned,"w:(131072,1024) idx:(131072,) fp16",1.7058,10091.18
embedding,large,tilelang,"w:(131072,1024) idx:(131072,) fp16",24.6744,11372.31
embedding,large,tilelang_tuned,"w:(131072,1024) idx:(131072,) fp16",24.5695,11372.31
index_select,small,pytorch,"src:(4096,512) idx:(256,) fp16",0.0137,10099.56
index_select,small,triton,"src:(4096,512) idx:(256,) fp16",0.0251,10099.56
index_select,small,triton_tuned,"src:(4096,512) idx:(256,) fp16",0.0255,10091.43
index_select,small,tilelang,"src:(4096,512) idx:(256,) fp16",15.5264,10099.93
index_select,small,tilelang_tuned,"src:(4096,512) idx:(256,) fp16",15.0815,10099.93
index_select,large,pytorch,"src:(65536,2048) idx:(4096,) fp16",0.1238,10115.31
index_select,large,triton,"src:(65536,2048) idx:(4096,) fp16",0.1461,10115.31
index_select,large,triton_tuned,"src:(65536,2048) idx:(4096,) fp16",0.1467,10107.18
index_select,large,tilelang,"src:(65536,2048) idx:(4096,) fp16",14.6662,10651.2
index_select,large,tilelang_tuned,"src:(65536,2048) idx:(4096,) fp16",15.4677,10651.2
layer_norm,small,pytorch,"x:(512,1024) bf16",0.0121,10100.31
layer_norm,small,triton,"x:(512,1024) bf16",0.0433,10100.31
layer_norm,small,triton_tuned,"x:(512,1024) bf16",0.0435,10092.19
layer_norm,small,tilelang,"x:(512,1024) bf16",20.5042,10096.19
layer_norm,small,tilelang_tuned,"x:(512,1024) bf16",23.6707,10096.19
layer_norm,large,pytorch,"x:(8192,8192) bf16",0.8719,10227.37
layer_norm,large,triton,"x:(8192,8192) bf16",0.919,10227.37
layer_norm,large,triton_tuned,"x:(8192,8192) bf16",0.9215,10219.25
layer_norm,large,tilelang,"x:(8192,8192) bf16",295.8456,10731.25
layer_norm,large,tilelang_tuned,"x:(8192,8192) bf16",299.1576,10731.25
leaky_relu,small,pytorch,"a:(4096,4096) b:(4096,4096) fp16",9.1922,10291.31
leaky_relu,small,triton,"a:(4096,4096) b:(4096,4096) fp16",5.5291,10131.31
leaky_relu,small,triton_tuned,"a:(4096,4096) b:(4096,4096) fp16",3.5236,10123.18
leaky_relu,small,tilelang,"a:(4096,4096) b:(4096,4096) fp16",19.516,10123.18
leaky_relu,small,tilelang_tuned,"a:(4096,4096) b:(4096,4096) fp16",22.9515,10123.18
leaky_relu,large,pytorch,"a:(8192,8192) b:(8192,8192) fp16",72.452,10867.31
leaky_relu,large,triton,"a:(8192,8192) b:(8192,8192) fp16",50.0811,10227.31
leaky_relu,large,triton_tuned,"a:(8192,8192) b:(8192,8192) fp16",29.3694,10219.18
leaky_relu,large,tilelang,"a:(8192,8192) b:(8192,8192) fp16",35.6683,10219.18
leaky_relu,large,tilelang_tuned,"a:(8192,8192) b:(8192,8192) fp16",39.2302,10219.18
linear_activation,small,pytorch,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.5787,10125.81
linear_activation,small,triton,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.5759,10101.31
linear_activation,small,triton_tuned,"x:(1,256,1024) w1/w3:(4096,1024) fp16",0.159,10093.18
linear_activation,small,tilelang,"x:(1,256,1024) w1/w3:(4096,1024) fp16",38.622,10128.69
linear_activation,small,tilelang_tuned,"x:(1,256,1024) w1/w3:(4096,1024) fp16",44.2743,10128.69
linear_activation,large,pytorch,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",47.2556,10691.32
linear_activation,large,triton,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",104.6112,10163.31
linear_activation,large,triton_tuned,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",89.9432,10155.18
linear_activation,large,tilelang,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",50.006,11035.2
linear_activation,large,tilelang_tuned,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",61.7156,11035.2
log_softmax,small,pytorch,"x:(512,1024) fp16",0.0093,10100.31
log_softmax,small,triton,"x:(512,1024) fp16",0.0378,10100.31
