kernel,size,input_desc,pytorch_ms,triton_tuned_ms,triton_vs_pytorch,tilelang_tuned_ms,tilelang_vs_pytorch
add,large,"x:(64M,) y:(64M,) fp16",1.3258,1.2815,OK,1.7142,1.3x
argmax,large,"x:(8192,32768) dim=1 fp16",1.6151,2.2624,1.4x,25.1303,15.6x
attention,large,"QKV:(8,32,2048,128) fp32",978.7204,51.0349,OK,1414.4868,1.4x
batched_matmul,large,"A:(128,2048) B:(128,2048,2048) fp16",3.2382,5.5657,1.7x,30.3194,9.4x
conv2d,large,"x:(32,256,128,128) w:(256,256,3,3) fp16",10.9569,31.3701,2.9x,115.7057,10.6x
embedding,large,"w:(131072,1024) idx:(131072,) fp16",6.9291,1.7073,OK,11.9690,1.7x
index_select,large,"src:(65536,2048) idx:(4096,) fp16",0.1241,0.1456,1.2x,0.1277,1.0x
layer_norm,large,"x:(8192,8192) bf16",0.8701,0.9203,1.1x,273.2961,314.1x
linear_activation,large,"x:(1,2048,4096) w1/w3:(16384,4096) fp16",46.7182,89.9408,1.9x,23.3988,OK
log_softmax,large,"x:(4096,32768) fp16",1.7575,2.3074,1.3x,10.3796,5.9x
matmul,large,"A:(16384,16384) B:(16384,16384) fp16",114.7105,361.8972,3.2x,203.2649,1.8x
max_reduction,large,"x:(8192,32768) dim=1 fp16",1.6158,12.6129,7.8x,28.1154,17.4x
mean_reduction,large,"x:(8192,32768) dim=1 fp32",3.2125,3.2339,1.0x,20.1142,6.3x
mul,large,"x:(64M,) fp16",0.8940,1.2832,1.4x,1.2946,1.4x
relu,large,"x:(16384,16384) fp16",3.5385,3.4215,OK,5.1536,1.5x
rms_norm,large,"x:(8192,8192) w:(8192,) fp16",9.9766,0.9081,OK,187.5127,18.8x
softmax,large,"x:(4096,32768) fp16",1.7511,1.7920,1.0x,8.6987,5.0x
