gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,1x1,1,1,32x256x128x128,pytorch,0.67686,0.67785,0.00221,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,1x1,1,1,32x256x128x128,triton,1.82989,1.83075,0.00363,36.99,95,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,1x1,1,1,32x256x128x128,tilelang,6.59046,7.13427,1.27506,10.27,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,3x3,1,1,32x256x128x128,pytorch,3.97005,3.96102,0.0326,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,3x3,1,1,32x256x128x128,triton,16.28365,16.43786,0.3152,24.38,224,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,3x3,1,1,32x256x128x128,tilelang,25.97069,25.99115,0.0963,15.29,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,5x5,1,1,32x256x128x128,pytorch,8.63846,8.63908,0.02266,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,5x5,1,1,32x256x128x128,triton,51.13856,51.30846,0.2871,16.89,224,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,5x5,1,1,32x256x128x128,tilelang,66.71462,66.70901,0.22745,12.95,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,7x7,1,1,32x256x128x128,pytorch,16.29389,16.52695,0.6735,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,7x7,1,1,32x256x128x128,triton,130.08487,130.07497,0.12136,12.53,224,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,7x7,1,1,32x256x128x128,tilelang,,,,,,,True,OOM-skip
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,3x3,1,256,32x256x128x128,pytorch,0.67174,0.68909,0.02487,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,3x3,1,256,32x256x128x128,triton,59.34182,59.3461,0.02101,1.13,226,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,3x3,1,256,32x256x128x128,tilelang,1136.13416,1136.1882,1.44046,0.06,,,True,per-group GEMM x8192 launches
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,3x3,2,1,32x256x128x128,pytorch,1.6937,1.69374,0.00311,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,3x3,2,1,32x256x128x128,triton,6.80243,6.81304,0.02707,24.9,224,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:37:40+00:00,3x3,2,1,32x256x128x128,tilelang,6.99085,7.43113,1.07777,24.23,,,True,
