gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,1x1,1,1,8x64x56x56,pytorch,0.03994,0.04112,0.0031,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,1x1,1,1,8x64x56x56,triton,0.07373,0.07447,0.00329,54.17,96,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,1x1,1,1,8x64x56x56,tilelang,0.75162,0.75672,0.02172,5.31,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,3x3,1,1,8x64x56x56,pytorch,0.0768,0.07739,0.00133,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,3x3,1,1,8x64x56x56,triton,0.15258,0.15544,0.01464,50.33,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,3x3,1,1,8x64x56x56,tilelang,0.75571,0.76233,0.02172,10.16,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,5x5,1,1,8x64x56x56,pytorch,0.10752,0.1074,0.00141,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,5x5,1,1,8x64x56x56,triton,0.48538,0.48773,0.00845,22.15,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,5x5,1,1,8x64x56x56,tilelang,1.28102,1.28072,0.00215,8.39,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,7x7,1,1,8x64x56x56,pytorch,0.15258,0.15229,0.00136,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,7x7,1,1,8x64x56x56,triton,1.02298,1.00176,0.03871,14.92,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,7x7,1,1,8x64x56x56,tilelang,2.24256,2.24295,0.00218,6.8,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,3x3,1,64,8x64x56x56,pytorch,0.0297,0.03027,0.0018,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,3x3,1,64,8x64x56x56,triton,0.73421,0.73585,0.00718,4.05,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,3x3,1,64,8x64x56x56,tilelang,71.73837,71.78525,0.27182,0.04,,,True,per-group GEMM x512 launches
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,3x3,2,1,8x64x56x56,pytorch,0.06349,0.0632,0.00096,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,3x3,2,1,8x64x56x56,triton,0.09523,0.09703,0.01221,66.67,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:32:58+00:00,3x3,2,1,8x64x56x56,tilelang,0.99738,1.00205,0.01948,6.37,,,True,
