gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,1x1,1,1,8x64x56x56,pytorch,0.03994,0.04098,0.00259,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,1x1,1,1,8x64x56x56,triton,0.07373,0.07504,0.00405,54.17,96,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,1x1,1,1,8x64x56x56,tilelang,0.75776,0.76124,0.01672,5.27,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,1x1,1,1,8x64x56x56,mitigation,0.12698,0.12777,0.00437,31.45,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,1,1,8x64x56x56,pytorch,0.05632,0.05648,0.00132,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,1,1,8x64x56x56,triton,0.11674,0.11741,0.00178,48.24,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,1,1,8x64x56x56,tilelang,0.76493,0.76808,0.01284,7.36,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,1,1,8x64x56x56,mitigation,0.2345,0.2354,0.00342,24.02,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,5x5,1,1,8x64x56x56,pytorch,0.09626,0.09634,0.00116,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,5x5,1,1,8x64x56x56,triton,0.42803,0.42949,0.0056,22.49,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,5x5,1,1,8x64x56x56,tilelang,1.00147,1.03946,0.06493,9.61,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,5x5,1,1,8x64x56x56,mitigation,0.29389,0.29499,0.00476,32.75,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,7x7,1,1,8x64x56x56,pytorch,0.09626,0.09669,0.0013,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,7x7,1,1,8x64x56x56,triton,0.56115,0.56693,0.01499,17.15,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,7x7,1,1,8x64x56x56,tilelang,1.52474,1.52508,0.00227,6.31,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,7x7,1,1,8x64x56x56,mitigation,0.4311,0.43229,0.00477,22.33,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,1,64,8x64x56x56,pytorch,0.0297,0.03054,0.00239,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,1,64,8x64x56x56,triton,0.70349,0.705,0.00417,4.22,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,1,64,8x64x56x56,tilelang,72.26163,72.26165,0.19657,0.04,,,True,per-group GEMM x512 launches
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,1,64,8x64x56x56,mitigation,,,,,,,,optimized kernel: groups==1 only (depthwise excluded)
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,2,1,8x64x56x56,pytorch,0.06349,0.06396,0.00105,100.0,,,ref,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,2,1,8x64x56x56,triton,0.09523,0.09527,0.00222,66.67,168,0,True,warps=4
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,2,1,8x64x56x56,tilelang,0.99123,0.99719,0.01723,6.41,,,True,
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:34:02+00:00,3x3,2,1,8x64x56x56,mitigation,0.16998,0.17136,0.00328,37.35,,,True,
