gpu_name,sm,timestamp_utc,kernel,shape,baseline,median_ms,mean_ms,std_ms,e_vs_eager,e_vs_fused
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,rms_norm,"(512, 1024)/(1024,)",eager,0.11878,0.12112,0.00872,100.0,81.04
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,rms_norm,"(512, 1024)/(1024,)",fused,0.09626,0.09767,0.00568,123.39,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,rms_norm,"(512, 1024)/(1024,)",triton,0.0727,0.07655,0.01496,163.38,132.41
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,rms_norm,"(512, 1024)/(1024,)",tilelang,3.4304,3.17389,0.35658,3.46,2.81
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,rms_norm,"(8192, 8192)/(8192,)",eager,2.43507,2.43522,0.00359,100.0,31.79
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,rms_norm,"(8192, 8192)/(8192,)",fused,0.77414,0.77445,0.00442,314.55,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,rms_norm,"(8192, 8192)/(8192,)",triton,0.25907,0.26274,0.0143,939.93,298.81
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,rms_norm,"(8192, 8192)/(8192,)",tilelang,278.46555,278.63794,0.61591,0.87,0.28
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,swiglu,"(512, 8192)",eager,0.0471,0.04807,0.00194,100.0,195.67
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,swiglu,"(512, 8192)",fused,0.09216,0.0923,0.00272,51.11,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,swiglu,"(512, 8192)",triton,0.08704,0.08862,0.00435,54.11,105.88
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,swiglu,"(512, 8192)",tilelang,0.12595,0.128,0.00579,37.4,73.17
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,swiglu,"(4096, 32768)",eager,1.48275,1.48455,0.00633,100.0,83.63
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,swiglu,"(4096, 32768)",fused,1.24006,1.24021,0.00421,119.57,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,swiglu,"(4096, 32768)",triton,0.36762,0.36919,0.00365,403.34,337.32
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,swiglu,"(4096, 32768)",tilelang,1.37216,1.37433,0.01146,108.06,90.37
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,softmax,"(512, 1024)",eager,0.02253,0.02214,0.00061,100.0,454.51
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,softmax,"(512, 1024)",fused,0.1024,0.10308,0.00363,22.0,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,softmax,"(512, 1024)",triton,0.05427,0.05573,0.00448,41.51,188.69
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,softmax,"(512, 1024)",tilelang,4.29773,4.21566,0.2803,0.52,2.38
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,softmax,"(4096, 32768)",eager,0.48435,0.48114,0.00521,100.0,250.53
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,softmax,"(4096, 32768)",fused,1.21344,1.21379,0.0045,39.92,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,softmax,"(4096, 32768)",triton,0.43008,0.43233,0.00765,112.62,282.14
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,softmax,"(4096, 32768)",tilelang,2.80678,2.80723,0.00321,17.26,43.23
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,log_softmax,"(512, 1024)",eager,0.01741,0.01776,0.00146,100.0,594.03
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,log_softmax,"(512, 1024)",fused,0.10342,0.10445,0.00406,16.83,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,log_softmax,"(512, 1024)",triton,0.09216,0.09245,0.00333,18.89,112.22
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,log_softmax,"(512, 1024)",tilelang,0.10854,0.11104,0.00726,16.04,95.28
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,log_softmax,"(4096, 32768)",eager,0.56832,0.56873,0.00276,100.0,267.21
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,log_softmax,"(4096, 32768)",fused,1.51859,1.51939,0.00423,37.42,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,log_softmax,"(4096, 32768)",triton,0.9984,1.00045,0.00948,56.92,152.1
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,log_softmax,"(4096, 32768)",tilelang,3.0208,3.01951,0.0133,18.81,50.27
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,add,"(4096,)/(4096,)",eager,0.01843,0.01874,0.00092,100.0,500.05
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,add,"(4096,)/(4096,)",fused,0.09216,0.09241,0.0029,20.0,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,add,"(4096,)/(4096,)",triton,0.03994,0.03979,0.0014,46.14,230.75
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,add,"(4096,)/(4096,)",tilelang,0.07782,0.07866,0.00347,23.68,118.43
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,add,"(67108864,)/(67108864,)",eager,0.30822,0.3087,0.00278,100.0,271.76
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,add,"(67108864,)/(67108864,)",fused,0.83763,0.83542,0.00601,36.8,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,add,"(67108864,)/(67108864,)",triton,0.32256,0.32281,0.00209,95.55,259.68
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,add,"(67108864,)/(67108864,)",tilelang,0.42291,0.42369,0.0038,72.88,198.06
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,relu,"(4096, 4096)",eager,0.06246,0.06291,0.00111,100.0,314.78
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,relu,"(4096, 4096)",fused,0.19661,0.19759,0.00345,31.77,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,relu,"(4096, 4096)",triton,0.07987,0.08167,0.00856,78.2,246.16
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,relu,"(4096, 4096)",tilelang,0.1024,0.1043,0.00517,61.0,192.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,relu,"(16384, 16384)",eager,0.78029,0.78023,0.00252,100.0,250.66
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,relu,"(16384, 16384)",fused,1.95584,1.95959,0.02756,39.9,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,relu,"(16384, 16384)",triton,0.80077,0.80214,0.00421,97.44,244.24
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,relu,"(16384, 16384)",tilelang,1.19398,1.19417,0.00349,65.35,163.81
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,leaky_relu,"(4096, 4096)/(4096, 4096)",eager,8.00051,8.25799,0.51767,100.0,100.92
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,leaky_relu,"(4096, 4096)/(4096, 4096)",fused,8.07424,8.50254,1.49553,99.09,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,leaky_relu,"(4096, 4096)/(4096, 4096)",triton,2.32141,2.29974,0.03919,344.64,347.82
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,leaky_relu,"(4096, 4096)/(4096, 4096)",tilelang,1.2329,1.23437,0.00423,648.92,654.9
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,leaky_relu,"(8192, 8192)/(8192, 8192)",eager,60.20915,60.21286,0.02961,100.0,101.32
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,leaky_relu,"(8192, 8192)/(8192, 8192)",fused,61.00173,61.02157,0.14107,98.7,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,leaky_relu,"(8192, 8192)/(8192, 8192)",triton,18.19955,18.1523,0.16379,330.83,335.18
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,leaky_relu,"(8192, 8192)/(8192, 8192)",tilelang,6.32627,6.7429,0.53275,951.73,964.26
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,cross_entropy,"(256, 1024)",eager_contaminated,0.61645,0.6202,0.01487,100.0,17.77
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,cross_entropy,"(256, 1024)",fused_F_cross_entropy,0.10957,0.11055,0.00331,562.61,100.0
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,cross_entropy,"(256, 1024)",triton,0.06349,0.06468,0.00321,970.94,172.58
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,cross_entropy,"(256, 1024)",tilelang,0.14746,0.14866,0.00478,418.05,74.3
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T05:48:44+00:00,cross_entropy,"(4096, 32768)",eager_contaminated,6.11226,6.11191,0.00294,100.0,25.31
