gpu_name,sm,timestamp_utc,kernel,shape,impl,median_ms,mean_ms,std_ms,p95_ms,e_lib_pct,ci95_band_pct,verdict,locked_gr_mhz,locked_mem_mhz
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,layer_norm,"x:(8192,8192) bf16",triton,0.30925,0.31178,0.00655,0.32666,123.84,5.15,significant: DSL faster,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,layer_norm,"x:(8192,8192) bf16",tilelang,348.93311,348.96752,0.46791,349.72058,0.11,0.0,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,softmax,"x:(4096,32768) fp16",triton,0.43008,0.43019,0.00283,0.43418,110.71,9.62,significant: DSL faster,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,softmax,"x:(4096,32768) fp16",tilelang,2.80781,2.8075,0.00242,2.8119,16.96,1.46,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,mean_reduction,"x:(8192,32768) dim=1 fp32",triton,1.0025,1.00306,0.00395,1.01069,74.97,0.66,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,mean_reduction,"x:(8192,32768) dim=1 fp32",tilelang,9.19654,9.19785,0.01304,9.22112,8.17,0.04,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,relu,"x:(16384,16384) fp16",triton,0.80179,0.80153,0.0016,0.80486,97.45,0.56,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,relu,"x:(16384,16384) fp16",tilelang,1.14278,1.14326,0.00226,1.1479,68.37,0.39,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,add,"x:(64M,) y:(64M,) fp16",triton,0.32666,0.32679,0.0023,0.33178,94.04,1.52,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,add,"x:(64M,) y:(64M,) fp16",tilelang,0.40755,0.40819,0.00139,0.41062,75.38,0.81,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,swiglu,"xy:(4096,32768) fp16",triton,0.36454,0.36475,0.00254,0.36966,286.52,7.43,significant: DSL faster,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,swiglu,"xy:(4096,32768) fp16",tilelang,0.98509,0.98553,0.00312,0.99123,106.03,2.43,significant: DSL faster,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,index_select,"src:(65536,2048) idx:(4096,) fp16",triton,0.08602,0.08677,0.0017,0.08909,70.24,3.54,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,index_select,"src:(65536,2048) idx:(4096,) fp16",tilelang,0.1024,0.10265,0.0021,0.10547,59.0,3.05,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,cross_entropy,"logits:(4096,32768) fp32",triton,0.42189,0.42214,0.00198,0.42496,1291.01,11.95,significant: DSL faster,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,cross_entropy,"logits:(4096,32768) fp32",tilelang,4.49434,4.49469,0.0058,4.5015,121.19,0.33,significant: DSL faster,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,conv2d,"x:(32,256,128,128) w:(256,256,3,3) fp16",triton,16.56627,16.57896,0.13762,16.84992,23.98,0.58,significant: DSL slower,210,1215
NVIDIA A100-PCIE-40GB,sm_80,2026-06-24T06:14:37+00:00,conv2d,"x:(32,256,128,128) w:(256,256,3,3) fp16",tilelang,26.30451,26.31727,0.16375,26.59123,15.1,0.33,significant: DSL slower,210,1215
