gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,1x1,1,1,2x32x16x16,pytorch,0.0553,0.05734,0.00425,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,1x1,1,1,2x32x16x16,triton,0.12902,0.13087,0.00646,42.86,124,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,1x1,1,1,2x32x16x16,tilelang,0.13414,0.13599,0.0101,41.23,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,3x3,1,1,2x32x16x16,pytorch,0.06349,0.06513,0.00346,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,3x3,1,1,2x32x16x16,triton,0.12186,0.12452,0.00711,52.1,214,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,3x3,1,1,2x32x16x16,tilelang,0.15667,0.16056,0.01086,40.52,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,5x5,1,1,2x32x16x16,pytorch,0.06349,0.06615,0.00559,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,5x5,1,1,2x32x16x16,triton,0.13517,0.1366,0.00623,46.97,212,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,5x5,1,1,2x32x16x16,tilelang,0.15667,0.15626,0.00413,40.52,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,7x7,1,1,2x32x16x16,pytorch,0.06349,0.06533,0.00326,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,7x7,1,1,2x32x16x16,triton,0.17715,0.18104,0.00776,35.84,212,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,7x7,1,1,2x32x16x16,tilelang,0.16384,0.16691,0.00857,38.75,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,3x3,1,32,2x32x16x16,pytorch,0.04608,0.04669,0.00358,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,3x3,1,32,2x32x16x16,triton,0.1239,0.12698,0.00934,37.19,211,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,3x3,1,32,2x32x16x16,tilelang,10.27789,10.25823,0.02645,0.45,,,True,per-group GEMM x64 launches
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,3x3,2,1,2x32x16x16,pytorch,0.06656,0.06676,0.00254,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,3x3,2,1,2x32x16x16,triton,0.11674,0.11756,0.00307,57.02,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:47:49+00:00,3x3,2,1,2x32x16x16,tilelang,0.33894,0.34038,0.0099,19.64,,,True,
