gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,1x1,1,1,32x256x128x128,pytorch,0.52122,0.52181,0.00253,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,1x1,1,1,32x256x128x128,triton,1.81658,1.81549,0.00593,28.69,95,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,1x1,1,1,32x256x128x128,tilelang,7.28883,7.28932,0.00473,7.15,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,3x3,1,1,32x256x128x128,pytorch,3.4519,3.45283,0.01326,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,3x3,1,1,32x256x128x128,triton,17.86061,17.85649,0.02111,19.33,224,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,3x3,1,1,32x256x128x128,tilelang,27.34797,27.34727,0.00842,12.62,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,5x5,1,1,32x256x128x128,pytorch,7.73018,7.72751,0.02296,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,5x5,1,1,32x256x128x128,triton,56.53913,56.52971,0.03753,13.67,224,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,5x5,1,1,32x256x128x128,tilelang,69.27053,69.26488,0.02962,11.16,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,7x7,1,1,32x256x128x128,pytorch,13.84653,13.84272,0.01818,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,7x7,1,1,32x256x128x128,triton,141.50452,141.51111,0.03715,9.79,224,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,7x7,1,1,32x256x128x128,tilelang,,,,,,,True,OOM-skip
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,3x3,1,256,32x256x128x128,pytorch,0.7977,0.79737,0.00364,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,3x3,1,256,32x256x128x128,triton,68.75648,68.75451,0.07445,1.16,226,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,3x3,1,256,32x256x128x128,tilelang,1567.55249,1604.73488,134.45677,0.05,,,True,per-group GEMM x8192 launches
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,3x3,2,1,32x256x128x128,pytorch,1.26054,1.26188,0.00786,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,3x3,2,1,32x256x128x128,triton,7.34003,7.3464,0.02628,17.17,224,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:55:07+00:00,3x3,2,1,32x256x128x128,tilelang,7.51718,7.51755,0.00376,16.77,,,True,
