gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,1x1,1,1,8x64x56x56,pytorch,0.0512,0.05265,0.00465,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,1x1,1,1,8x64x56x56,triton,0.11571,0.1186,0.00711,44.25,128,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,1x1,1,1,8x64x56x56,tilelang,0.9216,0.9223,0.01053,5.56,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,3x3,1,1,8x64x56x56,pytorch,0.06144,0.06261,0.00442,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,3x3,1,1,8x64x56x56,triton,0.12902,0.13154,0.00667,47.62,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,3x3,1,1,8x64x56x56,tilelang,0.93594,0.93782,0.01047,6.56,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,5x5,1,1,8x64x56x56,pytorch,0.08397,0.08526,0.00361,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,5x5,1,1,8x64x56x56,triton,0.24781,0.25063,0.00749,33.88,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,5x5,1,1,8x64x56x56,tilelang,1.02707,1.02758,0.00298,8.18,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,7x7,1,1,8x64x56x56,pytorch,0.11366,0.11393,0.00167,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,7x7,1,1,8x64x56x56,triton,0.4823,0.48339,0.00678,23.57,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,7x7,1,1,8x64x56x56,tilelang,1.86982,1.87011,0.00385,6.08,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,3x3,1,64,8x64x56x56,pytorch,0.04096,0.0428,0.00482,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,3x3,1,64,8x64x56x56,triton,0.74547,0.7466,0.00467,5.49,208,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,3x3,1,64,8x64x56x56,tilelang,83.75194,83.41649,0.772,0.05,,,True,per-group GEMM x512 launches
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,3x3,2,1,8x64x56x56,pytorch,0.06042,0.06175,0.00535,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,3x3,2,1,8x64x56x56,triton,0.12083,0.12372,0.00741,50.0,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:05:12+00:00,3x3,2,1,8x64x56x56,tilelang,1.18272,1.18516,0.0083,5.11,,,True,
