gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,1x1,1,1,2x32x16x16,pytorch,0.05837,0.06103,0.00776,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,1x1,1,1,2x32x16x16,triton,0.12595,0.13271,0.01412,46.34,124,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,1x1,1,1,2x32x16x16,tilelang,0.128,0.13332,0.01172,45.6,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,1x1,1,1,2x32x16x16,mitigation,0.18637,0.18616,0.00714,31.32,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,1,1,2x32x16x16,pytorch,0.06144,0.06349,0.00389,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,1,1,2x32x16x16,triton,0.11469,0.12001,0.01179,53.57,214,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,1,1,2x32x16x16,tilelang,0.15155,0.15217,0.00301,40.54,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,1,1,2x32x16x16,mitigation,0.21402,0.21996,0.00794,28.71,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,5x5,1,1,2x32x16x16,pytorch,0.06451,0.06656,0.00538,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,5x5,1,1,2x32x16x16,triton,0.1239,0.12431,0.00413,52.07,212,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,5x5,1,1,2x32x16x16,tilelang,0.15872,0.16118,0.00962,40.64,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,5x5,1,1,2x32x16x16,mitigation,0.21402,0.21791,0.01214,30.14,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,7x7,1,1,2x32x16x16,pytorch,0.06554,0.06636,0.00285,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,7x7,1,1,2x32x16x16,triton,0.15667,0.15585,0.00237,41.83,212,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,7x7,1,1,2x32x16x16,tilelang,0.1536,0.15913,0.00949,42.67,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,7x7,1,1,2x32x16x16,mitigation,0.22426,0.22528,0.00819,29.23,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,1,32,2x32x16x16,pytorch,0.0471,0.04792,0.00339,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,1,32,2x32x16x16,triton,0.11981,0.1196,0.00719,39.31,211,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,1,32,2x32x16x16,tilelang,10.14272,10.14129,0.01436,0.46,,,True,per-group GEMM x64 launches
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,1,32,2x32x16x16,mitigation,,,,,,,,optimized kernel: groups==1 only (depthwise excluded)
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,2,1,2x32x16x16,pytorch,0.06656,0.06963,0.00695,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,2,1,2x32x16x16,triton,0.11674,0.11817,0.00442,57.02,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,2,1,2x32x16x16,tilelang,0.32358,0.3326,0.01306,20.57,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T19:48:03+00:00,3x3,2,1,2x32x16x16,mitigation,0.21709,0.22077,0.01021,30.66,,,True,
