gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,1x1,1,1,32x256x128x128,pytorch,0.51814,0.51898,0.00449,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,1x1,1,1,32x256x128x128,triton,1.81555,1.81414,0.00679,28.54,95,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,1x1,1,1,32x256x128x128,tilelang,7.28064,7.28136,0.00739,7.12,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,1x1,1,1,32x256x128x128,mitigation,0.68608,0.68172,0.01297,75.52,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,1,1,32x256x128x128,pytorch,3.44474,3.45111,0.0147,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,1,1,32x256x128x128,triton,17.86368,17.86739,0.02656,19.28,224,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,1,1,32x256x128x128,tilelang,27.34182,27.34113,0.00898,12.6,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,1,1,32x256x128x128,mitigation,8.11725,8.11688,0.002,42.44,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,5x5,1,1,32x256x128x128,pytorch,7.71584,7.72,0.01223,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,5x5,1,1,32x256x128x128,triton,56.39475,56.39356,0.01256,13.68,224,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,5x5,1,1,32x256x128x128,tilelang,69.21831,69.21918,0.01214,11.15,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,5x5,1,1,32x256x128x128,mitigation,20.02739,20.02913,0.00798,38.53,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,7x7,1,1,32x256x128x128,pytorch,13.8455,13.84298,0.02022,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,7x7,1,1,32x256x128x128,triton,141.4912,141.49409,0.02976,9.79,224,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,7x7,1,1,32x256x128x128,tilelang,,,,,,,True,OOM-skip
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,7x7,1,1,32x256x128x128,mitigation,38.32013,38.32728,0.02236,36.13,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,1,256,32x256x128x128,pytorch,0.77619,0.77529,0.00313,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,1,256,32x256x128x128,triton,68.68992,68.71208,0.08027,1.13,226,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,1,256,32x256x128x128,tilelang,1536.14331,1536.03073,14.92305,0.05,,,True,per-group GEMM x8192 launches
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,1,256,32x256x128x128,mitigation,,,,,,,,optimized kernel: groups==1 only (depthwise excluded)
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,2,1,32x256x128x128,pytorch,1.25952,1.25825,0.0045,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,2,1,32x256x128x128,triton,7.33798,7.38642,0.09737,17.16,224,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,2,1,32x256x128x128,tilelang,7.52026,7.51993,0.00467,16.75,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-25T02:57:59+00:00,3x3,2,1,32x256x128x128,mitigation,3.03206,3.03086,0.00559,41.54,,,True,
