gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,1x1,1,1,8x64x56x56,pytorch,0.04915,0.0512,0.00479,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,1x1,1,1,8x64x56x56,triton,0.11674,0.11971,0.00704,42.1,128,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,1x1,1,1,8x64x56x56,tilelang,0.90931,0.91101,0.0093,5.41,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,1x1,1,1,8x64x56x56,mitigation,0.18125,0.18463,0.01098,27.12,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,1,1,8x64x56x56,pytorch,0.06144,0.06568,0.00901,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,1,1,8x64x56x56,triton,0.12698,0.13011,0.0064,48.39,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,1,1,8x64x56x56,tilelang,0.92467,0.92391,0.00719,6.64,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,1,1,8x64x56x56,mitigation,0.24986,0.25246,0.00752,24.59,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,5x5,1,1,8x64x56x56,pytorch,0.08294,0.08487,0.00499,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,5x5,1,1,8x64x56x56,triton,0.24883,0.2502,0.00576,33.33,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,5x5,1,1,8x64x56x56,tilelang,1.03322,1.0392,0.03999,8.03,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,5x5,1,1,8x64x56x56,mitigation,0.35533,0.35803,0.00797,23.34,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,7x7,1,1,8x64x56x56,pytorch,0.11469,0.11497,0.00279,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,7x7,1,1,8x64x56x56,triton,0.48333,0.4847,0.00544,23.73,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,7x7,1,1,8x64x56x56,tilelang,1.87392,1.8747,0.00331,6.12,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,7x7,1,1,8x64x56x56,mitigation,0.5161,0.51954,0.00774,22.22,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,1,64,8x64x56x56,pytorch,0.04198,0.04315,0.00482,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,1,64,8x64x56x56,triton,0.74547,0.74668,0.00469,5.63,208,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,1,64,8x64x56x56,tilelang,82.1248,82.64557,2.87146,0.05,,,True,per-group GEMM x512 launches
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,1,64,8x64x56x56,mitigation,,,,,,,,optimized kernel: groups==1 only (depthwise excluded)
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,2,1,8x64x56x56,pytorch,0.05837,0.06064,0.00566,100.0,,,ref,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,2,1,8x64x56x56,triton,0.12083,0.12261,0.00529,48.31,207,0,True,warps=4
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,2,1,8x64x56x56,tilelang,1.1735,1.1778,0.0251,4.97,,,True,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:06:21+00:00,3x3,2,1,8x64x56x56,mitigation,0.21504,0.21836,0.00893,27.14,,,True,
