gpu_name,sm,timestamp_utc,kernel,shape,baseline,median_ms,mean_ms,std_ms,e_vs_eager,e_vs_fused
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,rms_norm,"(512, 1024)/(1024,)",eager,0.13824,0.14236,0.00795,100.0,118.52
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,rms_norm,"(512, 1024)/(1024,)",fused,0.16384,0.16775,0.00864,84.37,100.0
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,rms_norm,"(512, 1024)/(1024,)",triton,0.11571,0.12481,0.01607,119.47,141.6
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,rms_norm,"(512, 1024)/(1024,)",tilelang,0.87962,0.88195,0.00615,15.72,18.63
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,rms_norm,"(8192, 8192)/(8192,)",eager,2.50675,2.50694,0.00185,100.0,25.94
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,rms_norm,"(8192, 8192)/(8192,)",fused,0.65024,0.65198,0.00743,385.51,100.0
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,rms_norm,"(8192, 8192)/(8192,)",triton,0.28467,0.30917,0.15359,880.58,228.42
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,rms_norm,"(8192, 8192)/(8192,)",tilelang,79.99693,80.06654,0.22507,3.13,0.81
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,swiglu,"(512, 8192)",eager,0.05734,0.05888,0.0047,100.0,282.16
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,swiglu,"(512, 8192)",fused,0.16179,0.16706,0.01562,35.44,100.0
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,swiglu,"(512, 8192)",triton,0.13005,0.13244,0.0073,44.09,124.41
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,swiglu,"(512, 8192)",tilelang,0.1495,0.15374,0.00816,38.35,108.22
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,swiglu,"(4096, 32768)",eager,1.09363,1.09416,0.00208,100.0,94.01
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,swiglu,"(4096, 32768)",fused,1.0281,1.03029,0.00724,106.37,100.0
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,swiglu,"(4096, 32768)",triton,0.39424,0.39629,0.00493,277.4,260.78
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,swiglu,"(4096, 32768)",tilelang,1.04653,1.04673,0.0024,104.5,98.24
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,softmax,"(512, 1024)",eager,0.02458,0.02572,0.00336,100.0,716.56
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,softmax,"(512, 1024)",fused,0.17613,0.18024,0.00952,13.96,100.0
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,softmax,"(512, 1024)",triton,0.08909,0.0911,0.00641,27.59,197.7
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,softmax,"(512, 1024)",tilelang,0.14438,0.1466,0.00615,17.02,121.99
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,softmax,"(4096, 32768)",eager,0.54067,0.53998,0.00199,100.0,243.94
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,softmax,"(4096, 32768)",fused,1.31891,1.32098,0.00589,40.99,100.0
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,softmax,"(4096, 32768)",triton,0.45978,0.4598,0.00498,117.59,286.86
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,softmax,"(4096, 32768)",tilelang,60.05555,60.0575,0.01674,0.9,2.2
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,log_softmax,"(512, 1024)",eager,0.02458,0.02636,0.00462,100.0,720.71
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,log_softmax,"(512, 1024)",fused,0.17715,0.1816,0.00971,13.88,100.0
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,log_softmax,"(512, 1024)",triton,0.13517,0.13832,0.00788,18.18,131.06
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,log_softmax,"(512, 1024)",tilelang,0.09421,0.09927,0.01588,26.09,188.04
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,log_softmax,"(4096, 32768)",eager,0.43827,0.43846,0.0016,100.0,295.79
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,log_softmax,"(4096, 32768)",fused,1.29638,1.29845,0.0068,33.81,100.0
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,log_softmax,"(4096, 32768)",triton,1.0025,1.00305,0.00489,43.72,129.31
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,log_softmax,"(4096, 32768)",tilelang,12.28902,12.29425,0.02686,3.57,10.55
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,add,"(4096,)/(4096,)",eager,0.02662,0.0274,0.00346,100.0,619.31
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:18+00:00,add,"(4096,)/(4096,)",fused,0.16486,0.16806,0.00716,16.15,100.0
