==PROF== Connected to process 103142 (/usr/bin/python3.10)
==PROF== Disconnected from process 103142
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","0.37",
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","1.44",
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_membar_per_issue_active.ratio","inst","0",
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio","inst","0.14",
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio","inst","0.49",
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","6.32",
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","6.33",
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","Warp State Statistics","Avg. Active Threads Per Warp","","32",
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","31.81",
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","WarpStateStats","","","","CPIStall","WRN","The optional metric smsp__pcsamp_sample_count could not be found. Collecting it as an additional metric could enable the rule to provide more guidance.","",""
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 2.6 cycles being stalled waiting on a fixed latency execution dependency. Typically, this stall reason should be very low and only shows up as a top contributor in already highly optimized kernels. Try to hide the corresponding instruction latencies by increasing the number of active warps, restructuring the code or unrolling loops. Furthermore, consider switching to lower-latency instructions, e.g. by making use of fast math compiler options. This stall type represents about 41.4% of the total average of 6.3 cycles between issuing two instructions.","local","41.43"
"0","103142","python3.10","127.0.0.1","103142  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","conv2d_forward_kernel","1","7","(128, 1, 1)","(4096, 8, 1)","0","8.0","WarpStateStats","","","","CPIStall","INF","Check the Warp Stall Sampling (All Samples) table for the top stall locations in your source based on sampling data. The Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-reference) provides more details on each stall reason.","",""
