==PROF== Connected to process 52852 (/usr/bin/python3.10)
==PROF== Disconnected from process 52852
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","0.01",
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","0.01",
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_membar_per_issue_active.ratio","inst","0",
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio","inst","0.02",
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio","inst","0.02",
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","8.06",
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","8.06",
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Warp State Statistics","Avg. Active Threads Per Warp","","32",
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","31.01",
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","WarpStateStats","","","","CPIStall","WRN","The optional metric smsp__pcsamp_sample_count could not be found. Collecting it as an additional metric could enable the rule to provide more guidance.","",""
"0","52852","python3.10","127.0.0.1","52852  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x6_nn_align8>(Params)","1","7","(256, 1, 1)","(1024, 8, 1)","0","8.0","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this kernel spends 3.5 cycles being stalled waiting for the execution pipe to be available. This stall occurs when all active warps execute their next instruction on a specific, oversubscribed math pipeline. Try to increase the number of active warps to hide the existent latency or try changing the instruction mix to utilize all available pipelines in a more balanced way. This stall type represents about 42.9% of the total average of 8.1 cycles between issuing two instructions.","local","42.91"
