gpu_name,sm,timestamp_utc,kernel,shape,impl,median_ms,mean_ms,std_ms,p95_ms,e_lib_pct,ci95_band_pct,verdict,locked_gr_mhz,locked_mem_mhz
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,layer_norm,"x:(8192,8192) bf16",triton,0.35328,0.35544,0.00673,0.36966,89.27,3.62,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,layer_norm,"x:(8192,8192) bf16",tilelang,97.1049,97.11248,0.18716,97.49299,0.32,0.01,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,softmax,"x:(4096,32768) fp16",triton,0.45773,0.45802,0.00411,0.46899,118.12,2.22,significant: DSL faster,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,softmax,"x:(4096,32768) fp16",tilelang,60.07194,60.06996,0.01998,60.10163,0.9,0.01,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,mean_reduction,"x:(8192,32768) dim=1 fp32",triton,1.04346,1.04491,0.00564,1.05882,72.72,0.93,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,mean_reduction,"x:(8192,32768) dim=1 fp32",tilelang,0.77722,0.77864,0.00477,0.7895,97.63,1.36,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,relu,"x:(16384,16384) fp16",triton,0.8192,0.81978,0.00346,0.82944,95.75,1.0,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,relu,"x:(16384,16384) fp16",tilelang,1.14995,1.15014,0.00214,1.15302,68.21,0.5,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,add,"x:(64M,) y:(64M,) fp16",triton,0.33997,0.34042,0.00412,0.35021,89.76,2.4,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,add,"x:(64M,) y:(64M,) fp16",tilelang,0.41267,0.41368,0.00457,0.42394,73.95,1.84,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,swiglu,"xy:(4096,32768) fp16",triton,0.39526,0.39676,0.00582,0.41267,276.69,8.0,significant: DSL faster,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,swiglu,"xy:(4096,32768) fp16",tilelang,1.04858,1.04903,0.00295,1.05267,104.3,0.65,significant: DSL faster,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,index_select,"src:(65536,2048) idx:(4096,) fp16",triton,0.14438,0.14538,0.00402,0.1577,46.81,4.81,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,index_select,"src:(65536,2048) idx:(4096,) fp16",tilelang,0.12595,0.12968,0.01064,0.14746,53.66,9.82,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,cross_entropy,"logits:(4096,32768) fp32",triton,0.44954,0.45034,0.00564,0.46387,1221.86,30.02,significant: DSL faster,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,cross_entropy,"logits:(4096,32768) fp32",tilelang,4.91008,4.91086,0.00501,4.92134,111.87,0.25,significant: DSL faster,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,conv2d,"x:(32,256,128,128) w:(256,256,3,3) fp16",triton,11.99718,12.0275,0.04655,12.09754,28.75,0.28,significant: DSL slower,1215,1215
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:45:34+00:00,conv2d,"x:(32,256,128,128) w:(256,256,3,3) fp16",tilelang,5.80506,5.81295,0.02172,5.85728,59.41,0.56,significant: DSL slower,1215,1215
