gpu_name,sm,timestamp_utc,measurement,config,impl,winograd_eligible,median_ms,mean_ms,std_ms,gap_vs_cudnn,e_vs_cudnn,note
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,cudnn_determinism_ab,3x3_s1,cudnn_deterministic=False,True,3.46931,3.46919,0.00168,,,nondeterministic(Winograd allowed)
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,cudnn_determinism_ab,3x3_s1,cudnn_deterministic=True,True,3.46829,3.46907,0.00486,,,deterministic(Winograd mostly OFF)
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,cudnn_determinism_ab,3x3_s1,DELTA_det_minus_nondet,True,-0.00102,,,,0.9997,upper bound on Winograd benefit (det - nondet)
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,3x3_s1,cudnn,True,3.46931,3.46913,0.00178,1.0,100.0,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,3x3_s1,triton,True,12.15898,12.16149,0.00753,3.505,28.53,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,3x3_s1,tilelang,True,5.83885,5.84026,0.00795,1.683,59.42,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,3x3_s2,cudnn,False,1.23085,1.23214,0.00467,1.0,100.0,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,3x3_s2,triton,False,3.83898,3.83898,0.00528,3.119,32.06,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,3x3_s2,tilelang,False,8.6487,8.64752,0.00403,7.027,14.23,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,5x5_s1,cudnn,False,7.61139,7.61215,0.00252,1.0,100.0,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,5x5_s1,triton,False,42.76736,42.65605,0.17496,5.619,17.8,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,5x5_s1,tilelang,False,14.23462,14.25533,0.04992,1.87,53.47,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,7x7_s1,cudnn,False,13.83322,13.83383,0.00351,1.0,100.0,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,7x7_s1,triton,False,105.28256,105.3261,0.34322,7.611,13.14,
NVIDIA A100-SXM4-40GB,sm_80,2026-06-26T20:22:43+00:00,eligible_vs_ineligible,7x7_s1,tilelang,False,28.16102,28.19865,0.13392,2.036,49.12,
