gpu_name,sm,timestamp_utc,kernel,dsl,dtype,shape,t_lib_ms,t_naive_ms,t_opt_ms,E_lib_naive,E_lib_opt,cliff,roofline_bound_type,roofline_peak_assumed,roofline_frac_opt,note
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,layer_norm,tilelang,bf16,"x:(8192,8192) w,b:(8192) bf16",0.13728,176.29968,0.11437,0.0008,1.2003,1541.4854,memory,4e+12 B/s HBM (GH200),0.5868,"reduction kernel; naive=T.serial mean/var + fp32 I/O + torch.zeros, opt=T.reduce + bf16 I/O | roofline[memory]: read x + write y = 2*67108864*2B; achieved=2.35e+12B/s; peak=4e+12B/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,rms_norm,tilelang,fp16,"x:(8192,8192) w:(8192) fp16",1.2665,147.7597,0.09718,0.0086,13.0325,1520.4744,memory,4e+12 B/s HBM (GH200),0.6906,"naive=T.serial sum-of-squares + fp32 I/O, opt=T.reduce + fp16 I/O + torch.empty | roofline[memory]: read x + write y = 2*67108864*2B; achieved=2.76e+12B/s; peak=4e+12B/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,argmax,tilelang,fp16,"x:(8192,32768) dim=1 fp16",0.31005,5.23984,1.38115,0.0592,0.2245,3.7938,memory,4e+12 B/s HBM (GH200),0.0972,"naive=3D T.serial element scan + fp32 upcast, opt=2D shared-mem tiled scan + fp16 I/O | roofline[memory]: read x once = 268435456*2B (output negligible); achieved=3.89e+11B/s; peak=4e+12B/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,matmul,triton,fp16,"a,b:(4096,4096) fp16",0.19994,0.37312,0.29277,0.5359,0.6829,1.2744,compute,9.895e+14 FLOP/s FP16-TC (GH200),0.4744,"naive=fixed 64x64x64 blocks, no autotune; opt=@autotune 12 cfgs + GROUP_SIZE_M L2 swizzle | roofline[compute]: 2*M*N*K = 2*4096*4096*4096; achieved=4.69e+14FLOP/s; peak=9.9e+14FLOP/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,conv2d,triton,fp16,"x:(32,256,128,128) w:(256,256,3,3) pad=1 fp16",1.32896,9.79376,3.89757,0.1357,0.341,2.5128,compute,9.895e+14 FLOP/s FP16-TC (GH200),0.1604,"padding=1 per benchmark.py:129. naive=direct h/w/c loops; opt=padded implicit GEMM + autotune + fp16 TC | roofline[compute]: 2*N*OC*OH*OW*C*KH*KW = 2*32*256*128*128*256*3*3 (pad=1); achieved=1.59e+14FLOP/s; peak=9.9e+14FLOP/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,max_reduction,tilelang,fp16,"x:(8192,32768) dim=1 fp16",0.27344,5.24842,0.32458,0.0521,0.8424,16.1699,memory,4e+12 B/s HBM (GH200),0.4135,"naive=3D T.serial scan + fp32 upcast, opt=two-pass tiled T.reduce (value,index) + native fp16 | roofline[memory]: read x once = 268435456*2B (output negligible); achieved=1.65e+12B/s; peak=4e+12B/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,mean_reduction,tilelang,fp32,"x:(8192,32768) dim=1 fp32",0.29926,4.30429,0.30867,0.0695,0.9695,13.9446,memory,4e+12 B/s HBM (GH200),0.8697,"naive=3D T.serial accumulate, opt=tiled T.reduce one-block-per-row | roofline[memory]: read x once = 268435456*4B; achieved=3.48e+12B/s; peak=4e+12B/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,softmax,tilelang,fp16,"x:(4096,32768) fp16",0.24861,1.15478,0.28736,0.2153,0.8652,4.0186,memory,4e+12 B/s HBM (GH200),0.4671,"CAVEAT: naive falls back to torch.softmax(fp32) for N>8192 (=> PyTorch call, not a TileLang kernel at this large shape); opt=shared-mem row cache + tiled T.reduce + native fp16 | roofline[memory]: read x + write y = 2*134217728*2B; achieved=1.87e+12B/s; peak=4e+12B/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,log_softmax,tilelang,fp16,"x:(4096,32768) fp16",0.2087,1.20582,0.2319,0.1731,0.9,5.1997,memory,4e+12 B/s HBM (GH200),0.5788,"naive=whole-row fp32 fragment kernel (spills), opt=shared-mem row cache + tiled reduce + native fp16 | roofline[memory]: read x + write y = 2*134217728*2B; achieved=2.32e+12B/s; peak=4e+12B/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,max_reduction,triton,fp16,"x:(8192,32768) dim=1 fp16",0.27354,1.47101,0.2281,0.186,1.1992,6.449,memory,4e+12 B/s HBM (GH200),0.5884,"naive=single block loads whole next_pow2(N) row (spills), opt=tiled streaming reduction BLOCK_N=4096 | roofline[memory]: read x once = 268435456*2B (output negligible); achieved=2.35e+12B/s; peak=4e+12B/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,batched_matmul,tilelang,fp16,"A:(128,2048) B:(128,2048,2048) fp16",0.34419,6.27405,0.31101,0.0549,1.1067,20.1731,memory,4e+12 B/s HBM (GH200),0.864,"GEMV-like (AI~1 FLOP/B). naive=scalar T.serial MAC + fp32 upcast, opt=shared-A cache + tiled T.reduce + native fp16 | roofline[memory]: read A+B + write C = (262144+536870912+262144)*2B (B dominates); achieved=3.46e+12B/s; peak=4e+12B/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
NVIDIA GH200 480GB,sm_90,2026-06-26T00:41:39+00:00,conv2d,tilelang,fp16,"x:(32,256,128,128) w:(256,256,3,3) pad=1 fp16",1.41274,18.52342,2.25869,0.0763,0.6255,8.201,compute,9.895e+14 FLOP/s FP16-TC (GH200),0.2767,"padding=1 per benchmark.py:129 (OW=128 triggers opt fast path). naive=im2col + per-batch GEMM loop, opt=direct implicit conv as KH*KW accumulating fp16 TC GEMMs | roofline[compute]: 2*N*OC*OH*OW*C*KH*KW = 2*32*256*128*128*256*3*3 (pad=1); achieved=2.74e+14FLOP/s; peak=9.9e+14FLOP/s; GH200 480GB: 96GB HBM3 ~4.0 TB/s; Hopper dense FP16/BF16 TC (FP32 acc) ~989.5 TFLOP/s, no sparsity. (The 144GB HBM3e variant is ~4.9 TB/s; 4.0 TB/s used here.)"
