gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,1x1,1,1,32x256x128x128,pytorch,0.18518,0.18634,0.00364,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,1x1,1,1,32x256x128x128,triton,0.70189,0.70311,0.00762,26.38,64,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,1x1,1,1,32x256x128x128,tilelang,0.52387,0.52311,0.00495,35.35,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,3x3,1,1,32x256x128x128,pytorch,1.37734,1.35302,0.05863,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,3x3,1,1,32x256x128x128,triton,9.79117,9.8016,0.04566,14.07,226,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,3x3,1,1,32x256x128x128,tilelang,2.25485,2.25507,0.00689,61.08,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,5x5,1,1,32x256x128x128,pytorch,3.11261,3.10965,0.04149,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,5x5,1,1,32x256x128x128,triton,30.30989,30.31734,0.04281,10.27,226,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,5x5,1,1,32x256x128x128,tilelang,5.18048,5.17257,0.02177,60.08,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,7x7,1,1,32x256x128x128,pytorch,8.39466,8.36833,0.04127,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,7x7,1,1,32x256x128x128,triton,72.99049,73.0073,0.09377,11.5,226,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,7x7,1,1,32x256x128x128,tilelang,9.96819,9.92048,0.18356,84.21,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,3x3,1,256,32x256x128x128,pytorch,0.30474,0.30721,0.00554,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,3x3,1,256,32x256x128x128,triton,37.48029,37.48365,0.01392,0.81,230,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,3x3,1,256,32x256x128x128,tilelang,1015.99963,1016.11581,3.18919,0.03,,,True,per-group GEMM x8192 launches
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,3x3,2,1,32x256x128x128,pytorch,0.53043,0.53215,0.00681,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,3x3,2,1,32x256x128x128,triton,3.62422,3.62817,0.0176,14.64,226,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-25T23:45:42+00:00,3x3,2,1,32x256x128x128,tilelang,4.80784,4.8087,0.00452,11.03,,,True,
