gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,1x1,1,1,8x64x56x56,pytorch,0.03795,0.04098,0.01025,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,1x1,1,1,8x64x56x56,triton,0.05712,0.06048,0.00846,66.44,96,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,1x1,1,1,8x64x56x56,tilelang,0.65142,0.65666,0.03189,5.83,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,3x3,1,1,8x64x56x56,pytorch,0.09094,0.09421,0.01171,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,3x3,1,1,8x64x56x56,triton,0.09299,0.09488,0.0082,97.8,168,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,3x3,1,1,8x64x56x56,tilelang,0.63523,0.6342,0.03109,14.32,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,5x5,1,1,8x64x56x56,pytorch,0.09162,0.09467,0.01167,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,5x5,1,1,8x64x56x56,triton,0.15469,0.15726,0.00878,59.23,168,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,5x5,1,1,8x64x56x56,tilelang,0.78378,0.78478,0.00387,11.69,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,7x7,1,1,8x64x56x56,pytorch,0.11104,0.11435,0.01026,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,7x7,1,1,8x64x56x56,triton,0.3201,0.32235,0.00858,34.69,168,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,7x7,1,1,8x64x56x56,tilelang,1.33402,1.33452,0.00569,8.32,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,3x3,1,64,8x64x56x56,pytorch,0.03046,0.033,0.00865,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,3x3,1,64,8x64x56x56,triton,0.64912,0.6497,0.00868,4.69,199,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,3x3,1,64,8x64x56x56,tilelang,60.86234,60.86258,0.3309,0.05,,,True,per-group GEMM x512 launches
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,3x3,2,1,8x64x56x56,pytorch,0.09027,0.09225,0.01052,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,3x3,2,1,8x64x56x56,triton,0.07715,0.08014,0.00826,117.01,168,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:27+00:00,3x3,2,1,8x64x56x56,tilelang,0.86602,0.86831,0.03002,10.42,,,True,
