gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,1x1,1,1,32x256x128x128,pytorch,0.20253,0.20367,0.00472,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,1x1,1,1,32x256x128x128,triton,0.70266,0.7035,0.00556,28.82,64,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,1x1,1,1,32x256x128x128,tilelang,0.62448,0.62461,0.0034,32.43,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,1x1,1,1,32x256x128x128,mitigation,0.34989,0.35068,0.008,57.88,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,1,1,32x256x128x128,pytorch,1.60864,1.60935,0.00558,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,1,1,32x256x128x128,triton,13.19667,13.19546,0.01279,12.19,226,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,1,1,32x256x128x128,tilelang,2.96371,2.96283,0.00606,54.28,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,1,1,32x256x128x128,mitigation,5.18339,5.18979,0.01316,31.03,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,5x5,1,1,32x256x128x128,pytorch,3.34829,3.35073,0.01823,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,5x5,1,1,32x256x128x128,triton,41.20835,41.20935,0.04351,8.13,226,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,5x5,1,1,32x256x128x128,tilelang,6.72816,6.73394,0.01479,49.77,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,5x5,1,1,32x256x128x128,mitigation,12.70291,12.70226,0.00687,26.36,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,7x7,1,1,32x256x128x128,pytorch,9.63408,9.63782,0.01347,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,7x7,1,1,32x256x128x128,triton,98.57207,98.57379,0.02664,9.77,226,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,7x7,1,1,32x256x128x128,tilelang,12.52304,12.58953,0.12598,76.93,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,7x7,1,1,32x256x128x128,mitigation,23.92659,23.92446,0.01537,40.27,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,1,256,32x256x128x128,pytorch,0.43155,0.43232,0.0037,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,1,256,32x256x128x128,triton,51.57373,51.5759,0.03227,0.84,230,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,1,256,32x256x128x128,tilelang,955.79413,955.22107,2.5456,0.05,,,True,per-group GEMM x8192 launches
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,1,256,32x256x128x128,mitigation,,,,,,,,optimized kernel: groups==1 only (depthwise excluded)
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,2,1,32x256x128x128,pytorch,0.64832,0.64932,0.00693,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,2,1,32x256x128x128,triton,4.87258,4.87338,0.01177,13.31,226,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,2,1,32x256x128x128,tilelang,8.96054,8.96111,0.00985,7.24,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T02:48:58+00:00,3x3,2,1,32x256x128x128,mitigation,2.10006,2.09936,0.00335,30.87,,,True,
