gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,1x1,1,1,8x64x56x56,pytorch,0.04307,0.04628,0.00961,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,1x1,1,1,8x64x56x56,triton,0.05862,0.06213,0.01083,73.47,96,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,1x1,1,1,8x64x56x56,tilelang,0.72627,0.72735,0.03481,5.93,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,1x1,1,1,8x64x56x56,mitigation,0.08499,0.09065,0.014,50.68,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,1,1,8x64x56x56,pytorch,0.09277,0.096,0.01114,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,1,1,8x64x56x56,triton,0.08893,0.0905,0.00555,104.32,168,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,1,1,8x64x56x56,tilelang,0.90701,0.90418,0.04396,10.23,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,1,1,8x64x56x56,mitigation,0.16445,0.16938,0.01724,56.41,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,5x5,1,1,8x64x56x56,pytorch,0.09226,0.09552,0.01082,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,5x5,1,1,8x64x56x56,triton,0.15629,0.16004,0.00889,59.03,168,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,5x5,1,1,8x64x56x56,tilelang,0.91894,0.91507,0.04826,10.04,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,5x5,1,1,8x64x56x56,mitigation,0.24682,0.25052,0.01474,37.38,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,7x7,1,1,8x64x56x56,pytorch,0.11034,0.11242,0.00648,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,7x7,1,1,8x64x56x56,triton,0.32163,0.32324,0.00845,34.31,168,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,7x7,1,1,8x64x56x56,tilelang,1.33494,1.33526,0.00544,8.27,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,7x7,1,1,8x64x56x56,mitigation,0.37888,0.37987,0.01423,29.12,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,1,64,8x64x56x56,pytorch,0.02963,0.03154,0.00669,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,1,64,8x64x56x56,triton,0.64752,0.64861,0.00533,4.58,199,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,1,64,8x64x56x56,tilelang,63.97773,64.00982,0.29857,0.05,,,True,per-group GEMM x512 launches
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,1,64,8x64x56x56,mitigation,,,,,,,,optimized kernel: groups==1 only (depthwise excluded)
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,2,1,8x64x56x56,pytorch,0.09296,0.09669,0.01138,100.0,,,ref,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,2,1,8x64x56x56,triton,0.07926,0.08296,0.01128,117.28,168,0,True,warps=4
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,2,1,8x64x56x56,tilelang,1.23248,1.24531,0.06893,7.54,,,True,
NVIDIA GH200 480GB,sm_90,2026-06-26T04:08:23+00:00,3x3,2,1,8x64x56x56,mitigation,0.15024,0.15406,0.01416,61.87,,,True,
