gpu_name,sm,timestamp_utc,kernel,shape,baseline,median_ms,mean_ms,std_ms,e_vs_eager,e_vs_fused
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,rms_norm,"(512, 1024)/(1024,)",eager,0.14611,0.15278,0.01775,100.0,91.75
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,rms_norm,"(512, 1024)/(1024,)",fused,0.13405,0.14133,0.01757,109.0,100.0
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,rms_norm,"(512, 1024)/(1024,)",triton,0.08781,0.0925,0.01377,166.39,152.66
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,rms_norm,"(512, 1024)/(1024,)",tilelang,0.49677,0.49823,0.01185,29.41,26.98
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,rms_norm,"(8192, 8192)/(8192,)",eager,1.27219,1.27207,0.00157,100.0,27.4
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,rms_norm,"(8192, 8192)/(8192,)",fused,0.34858,0.35357,0.01201,364.96,100.0
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,rms_norm,"(8192, 8192)/(8192,)",triton,0.13523,0.13827,0.01064,940.76,257.77
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,rms_norm,"(8192, 8192)/(8192,)",tilelang,38.69613,38.69921,0.02505,3.29,0.9
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,swiglu,"(512, 8192)",eager,0.05309,0.05623,0.00959,100.0,250.33
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,swiglu,"(512, 8192)",fused,0.1329,0.13724,0.01472,39.95,100.0
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,swiglu,"(512, 8192)",triton,0.06381,0.06782,0.01006,83.2,208.27
NVIDIA GH200 480GB,sm_90,2026-06-26T03:52:17+00:00,swiglu,"(512, 8192)",tilelang,0.10499,0.11006,0.01449,50.57,126.58
