==PROF== Connected to process 226898 (/usr/bin/python3.10)
==PROF== Disconnected from process 226898
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","3.19",
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","4.03",
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_membar_per_issue_active.ratio","inst","0",
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio","inst","2.75",
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio","inst","0.00",
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","18.24",
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","18.24",
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Warp State Statistics","Avg. Active Threads Per Warp","","32.00",
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","29.60",
"0","226898","python3.10","127.0.0.1","226898  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","WarpStateStats","","","","CPIStall","WRN","The optional metric smsp__pcsamp_sample_count could not be found. Collecting it as an additional metric could enable the rule to provide more guidance.","",""
