target,kernel,set,rc,metric,label,value,unit
argmax_tilelang_large,func_kernel,l2dram,RC2b,dram__bytes_read.sum,DRAM read bytes,1073824768,byte
argmax_tilelang_large,func_kernel,l2dram,RC2b,dram__throughput.avg.pct_of_peak_sustained_elapsed,DRAM thru %,4.85,%
argmax_tilelang_large,func_kernel,l2dram,ref,gpu__time_duration.sum,kernel time (ns),5518112,ns
argmax_tilelang_large,func_kernel,l2dram,RC2b,lts__t_sector_hit_rate.pct,L2 hit %,33.34,%
argmax_tilelang_large,func_kernel,loads,RC1,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,sectors/req (↑=less vectorized),16,sector
argmax_tilelang_large,func_kernel,loads,RC1,smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,bytes/sector load eff %,12.50,%
argmax_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum,local-ld bytes (spill),0,byte
argmax_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_st.sum,local-st bytes (spill),0,byte
argmax_tilelang_large,func_kernel,regs,RC3,launch__occupancy_limit_registers,occ limit (reg) %,16,block
argmax_tilelang_large,func_kernel,regs,RC3,launch__registers_per_thread,regs/thread,32,register/thread
argmax_tilelang_large,func_kernel,regs,RC3,sm__warps_active.avg.pct_of_peak_sustained_active,achieved occ %,24.13,%
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,stall barrier (sync),0,inst
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,stall long_scoreboard,45.26,inst
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,stall membar,0,inst
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,stall mio_throttle,0,inst
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,stall short_scoreboard,0.00,inst
conv2d_triton_large,conv2d_forward_kernel,l2dram,RC2b,dram__bytes_read.sum,DRAM read bytes,2149672960,byte
conv2d_triton_large,conv2d_forward_kernel,l2dram,RC2b,dram__throughput.avg.pct_of_peak_sustained_elapsed,DRAM thru %,5.29,%
conv2d_triton_large,conv2d_forward_kernel,l2dram,ref,gpu__time_duration.sum,kernel time (ns),11365408,ns
conv2d_triton_large,conv2d_forward_kernel,l2dram,RC2b,lts__t_sector_hit_rate.pct,L2 hit %,89.46,%
conv2d_triton_large,conv2d_forward_kernel,loads,RC1,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,sectors/req (↑=less vectorized),16.40,sector
conv2d_triton_large,conv2d_forward_kernel,loads,RC1,smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,bytes/sector load eff %,12.14,%
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum,local-ld bytes (spill),0,byte
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_st.sum,local-st bytes (spill),0,byte
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,launch__occupancy_limit_registers,occ limit (reg) %,2,block
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,launch__registers_per_thread,regs/thread,226,register/thread
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,sm__warps_active.avg.pct_of_peak_sustained_active,achieved occ %,12.48,%
conv2d_triton_large,conv2d_forward_kernel,stalls,RC0,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,stall barrier (sync),0.54,inst
conv2d_triton_large,conv2d_forward_kernel,stalls,RC0,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,stall long_scoreboard,2.08,inst
conv2d_triton_large,conv2d_forward_kernel,stalls,RC0,smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,stall membar,0,inst
conv2d_triton_large,conv2d_forward_kernel,stalls,RC0,smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,stall mio_throttle,0.00,inst
