gpu_name,sm,timestamp_utc,kernel,shape,impl,median_ms,mean_ms,std_ms,p95_ms,e_lib_pct,ci95_band_pct,verdict,locked_gr_mhz,locked_mem_mhz
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,layer_norm,"x:(8192,8192) bf16",triton,0.23827,0.24152,0.00992,0.26416,67.03,6.59,significant: DSL slower,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,layer_norm,"x:(8192,8192) bf16",tilelang,51.51901,51.53878,0.14241,51.8329,0.31,0.02,significant: DSL slower,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,softmax,"x:(4096,32768) fp16",triton,0.25914,0.26209,0.007,0.27728,131.34,7.2,significant: DSL faster,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,softmax,"x:(4096,32768) fp16",tilelang,0.38378,0.38408,0.00393,0.39059,88.68,2.29,significant: DSL slower,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,mean_reduction,"x:(8192,32768) dim=1 fp32",triton,0.85165,0.85276,0.00614,0.86957,35.98,1.03,significant: DSL slower,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,mean_reduction,"x:(8192,32768) dim=1 fp32",tilelang,0.31021,0.31149,0.00599,0.32454,98.77,4.47,within noise of parity,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,relu,"x:(16384,16384) fp16",triton,0.32298,0.32459,0.00508,0.33197,100.83,3.71,within noise of parity,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,relu,"x:(16384,16384) fp16",tilelang,0.50285,0.50253,0.00326,0.50922,64.76,1.55,significant: DSL slower,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,add,"x:(64M,) y:(64M,) fp16",triton,0.13366,0.13532,0.00545,0.1489,88.13,8.18,significant: DSL slower,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,add,"x:(64M,) y:(64M,) fp16",tilelang,0.18266,0.18364,0.00276,0.1888,64.49,3.68,significant: DSL slower,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,swiglu,"xy:(4096,32768) fp16",triton,0.1617,0.16555,0.00896,0.18714,441.18,47.04,significant: DSL faster,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,swiglu,"xy:(4096,32768) fp16",tilelang,0.58579,0.58629,0.00487,0.59427,121.78,2.38,significant: DSL faster,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,index_select,"src:(65536,2048) idx:(4096,) fp16",triton,0.08595,0.08788,0.00571,0.09907,113.0,16.47,within noise of parity,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,index_select,"src:(65536,2048) idx:(4096,) fp16",tilelang,0.07613,0.0799,0.01354,0.1105,127.57,43.33,within noise of parity,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,cross_entropy,"logits:(4096,32768) fp32",triton,0.2471,0.24964,0.00622,0.26147,1002.26,49.0,significant: DSL faster,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,cross_entropy,"logits:(4096,32768) fp32",tilelang,6.99085,6.99124,0.01228,7.00672,35.43,0.15,significant: DSL slower,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,conv2d,"x:(32,256,128,128) w:(256,256,3,3) fp16",triton,13.18925,13.19025,0.01557,13.21229,12.1,0.1,significant: DSL slower,1320,2619
NVIDIA GH200 480GB,sm_90,2026-06-26T04:13:58+00:00,conv2d,"x:(32,256,128,128) w:(256,256,3,3) fp16",tilelang,2.95856,2.96018,0.00614,2.97299,53.96,0.47,significant: DSL slower,1320,2619
