gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,1x1,1,1,8x64x56x56,pytorch,0.01741,0.01777,0.00084,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,1x1,1,1,8x64x56x56,triton,0.03894,0.03955,0.00156,44.71,80,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,1x1,1,1,8x64x56x56,tilelang,0.2752,0.27649,0.00422,6.33,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,3x3,1,1,8x64x56x56,pytorch,0.06022,0.0601,0.00067,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,3x3,1,1,8x64x56x56,triton,0.1216,0.12129,0.00265,49.52,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,3x3,1,1,8x64x56x56,tilelang,0.73594,0.73612,0.00237,8.18,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,5x5,1,1,8x64x56x56,pytorch,0.11747,0.11747,0.00117,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,5x5,1,1,8x64x56x56,triton,0.39827,0.39847,0.00912,29.5,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,5x5,1,1,8x64x56x56,tilelang,1.83296,1.83293,0.00274,6.41,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,7x7,1,1,8x64x56x56,pytorch,0.18733,0.18726,0.00069,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,7x7,1,1,8x64x56x56,triton,1.00454,1.00424,0.00663,18.65,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,7x7,1,1,8x64x56x56,tilelang,3.84573,3.85126,0.02987,4.87,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,3x3,1,64,8x64x56x56,pytorch,0.02182,0.02195,0.00059,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,3x3,1,64,8x64x56x56,triton,0.60835,0.60872,0.00273,3.59,118,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,3x3,1,64,8x64x56x56,tilelang,25.59658,25.61327,0.38491,0.09,,,True,per-group GEMM x512 launches
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,3x3,2,1,8x64x56x56,pytorch,0.03568,0.03558,0.00056,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,3x3,2,1,8x64x56x56,triton,0.07229,0.07264,0.00201,49.36,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:38:13+00:00,3x3,2,1,8x64x56x56,tilelang,0.36067,0.36283,0.0055,9.89,,,True,
