gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,1x1,1,1,32x256x128x128,pytorch,1.72442,1.73293,0.01976,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,1x1,1,1,32x256x128x128,triton,7.40221,7.40414,0.00825,23.3,77,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,1x1,1,1,32x256x128x128,tilelang,14.98637,15.00654,0.08404,11.51,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,3x3,1,1,32x256x128x128,pytorch,10.94451,10.91292,0.07018,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,3x3,1,1,32x256x128x128,triton,29.98989,30.22958,0.81121,36.49,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,3x3,1,1,32x256x128x128,tilelang,115.77018,115.76714,0.04412,9.45,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,5x5,1,1,32x256x128x128,pytorch,23.66464,23.81101,0.58443,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,5x5,1,1,32x256x128x128,triton,149.42294,148.99188,1.38065,15.84,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,5x5,1,1,32x256x128x128,tilelang,,,,,,,True,OOM-skip
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,7x7,1,1,32x256x128x128,pytorch,41.49338,42.08217,1.01062,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,7x7,1,1,32x256x128x128,triton,320.42886,320.14113,0.94274,12.95,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,7x7,1,1,32x256x128x128,tilelang,,,,,,,,OOM-skip
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,3x3,1,256,32x256x128x128,pytorch,1.72166,1.72153,0.00318,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,3x3,1,256,32x256x128x128,triton,45.34278,45.35077,0.04332,3.8,112,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,3x3,1,256,32x256x128x128,tilelang,448.47391,448.63748,1.92155,0.38,,,True,per-group GEMM x8192 launches
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,3x3,2,1,32x256x128x128,pytorch,4.51379,4.51712,0.0099,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,3x3,2,1,32x256x128x128,triton,11.83334,11.82547,0.11032,38.14,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:51:01+00:00,3x3,2,1,32x256x128x128,tilelang,21.93715,21.94178,0.02271,20.58,,,True,
