gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,1x1,1,1,32x256x128x128,pytorch,1.77853,1.77813,0.00222,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,1x1,1,1,32x256x128x128,triton,7.40147,7.40176,0.00468,24.03,77,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,1x1,1,1,32x256x128x128,tilelang,18.02445,18.02555,0.01704,9.87,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,1x1,1,1,32x256x128x128,mitigation,1.71603,1.71554,0.00312,103.64,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,1,1,32x256x128x128,pytorch,13.39597,13.39417,0.00896,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,1,1,32x256x128x128,triton,39.22003,39.22289,0.08858,34.16,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,1,1,32x256x128x128,tilelang,119.44368,119.44684,0.03477,11.22,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,1,1,32x256x128x128,mitigation,19.40253,19.40505,0.01117,69.04,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,5x5,1,1,32x256x128x128,pytorch,29.568,29.56983,0.01479,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,5x5,1,1,32x256x128x128,triton,210.63866,210.61492,0.37278,14.04,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,5x5,1,1,32x256x128x128,tilelang,,,,,,,,OOM-skip
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,5x5,1,1,32x256x128x128,mitigation,48.10122,48.10304,0.01389,61.47,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,7x7,1,1,32x256x128x128,pytorch,52.69485,52.69852,0.01699,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,7x7,1,1,32x256x128x128,triton,437.00531,437.0109,0.05475,12.06,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,7x7,1,1,32x256x128x128,tilelang,,,,,,,,OOM-skip
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,7x7,1,1,32x256x128x128,mitigation,91.64185,91.64234,0.00805,57.5,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,1,256,32x256x128x128,pytorch,1.96915,1.84626,0.1461,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,1,256,32x256x128x128,triton,74.2953,74.3034,0.02282,2.65,112,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,1,256,32x256x128x128,tilelang,449.15918,448.93974,2.43695,0.44,,,True,per-group GEMM x8192 launches
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,1,256,32x256x128x128,mitigation,,,,,,,,optimized kernel: groups==1 only (depthwise excluded)
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,2,1,32x256x128x128,pytorch,4.96845,4.87256,0.15404,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,2,1,32x256x128x128,triton,13.94278,13.92055,0.28906,35.63,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,2,1,32x256x128x128,tilelang,24.20317,24.20598,0.0185,20.53,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:50:11+00:00,3x3,2,1,32x256x128x128,mitigation,7.21715,7.21751,0.00305,68.84,,,True,
