gpu_name,sm,timestamp_utc,filter,stride,groups,shape,impl,median_ms,mean_ms,std_ms,e_lib,n_regs,n_spills,correct,note
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,1x1,1,1,8x64x56x56,pytorch,0.0215,0.02182,0.00057,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,1x1,1,1,8x64x56x56,triton,0.04486,0.04471,0.00125,47.93,80,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,1x1,1,1,8x64x56x56,tilelang,0.27443,0.29223,0.0596,7.83,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,1x1,1,1,8x64x56x56,mitigation,0.06144,0.06169,0.00122,34.99,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,1,1,8x64x56x56,pytorch,0.08474,0.0848,0.00102,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,1,1,8x64x56x56,triton,0.15341,0.15157,0.00324,55.24,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,1,1,8x64x56x56,tilelang,0.83354,0.83477,0.00708,10.17,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,1,1,8x64x56x56,mitigation,0.18525,0.18538,0.00158,45.74,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,5x5,1,1,8x64x56x56,pytorch,0.15565,0.15563,0.00062,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,5x5,1,1,8x64x56x56,triton,0.5425,0.54293,0.00905,28.69,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,5x5,1,1,8x64x56x56,tilelang,2.01114,2.01155,0.00333,7.74,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,5x5,1,1,8x64x56x56,mitigation,0.39085,0.39124,0.00226,39.82,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,7x7,1,1,8x64x56x56,pytorch,0.26214,0.26231,0.00066,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,7x7,1,1,8x64x56x56,triton,1.39366,1.393,0.0042,18.81,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,7x7,1,1,8x64x56x56,tilelang,4.03354,4.03248,0.00652,6.5,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,7x7,1,1,8x64x56x56,mitigation,0.73296,0.73354,0.00345,35.76,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,1,64,8x64x56x56,pytorch,0.03072,0.03066,0.00063,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,1,64,8x64x56x56,triton,0.9687,0.96909,0.00173,3.17,118,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,1,64,8x64x56x56,tilelang,26.19722,26.11915,0.28505,0.12,,,True,per-group GEMM x512 launches
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,1,64,8x64x56x56,mitigation,,,,,,,,optimized kernel: groups==1 only (depthwise excluded)
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,2,1,8x64x56x56,pytorch,0.048,0.0478,0.00067,100.0,,,ref,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,2,1,8x64x56x56,triton,0.09008,0.09052,0.00175,53.29,128,0,True,warps=4
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,2,1,8x64x56x56,tilelang,0.34826,0.34956,0.00428,13.78,,,True,
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-26T21:46:47+00:00,3x3,2,1,8x64x56x56,mitigation,0.10342,0.10362,0.00085,46.41,,,True,
