gpu_name,sm,timestamp_utc,kernel,shape,baseline,median_ms,mean_ms,std_ms,e_vs_eager,e_vs_fused
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,rms_norm,"(512, 1024)/(1024,)",eager,0.04701,0.04735,0.00179,100.0,113.27
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,rms_norm,"(512, 1024)/(1024,)",fused,0.05325,0.05363,0.00177,88.28,100.0
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,rms_norm,"(512, 1024)/(1024,)",triton,0.03382,0.03428,0.00165,139.0,157.45
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,rms_norm,"(512, 1024)/(1024,)",tilelang,1.83725,1.835,0.0128,2.56,2.9
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,rms_norm,"(8192, 8192)/(8192,)",eager,9.97786,9.97745,0.01062,100.0,17.74
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,rms_norm,"(8192, 8192)/(8192,)",fused,1.77034,1.77038,0.00557,563.61,100.0
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,rms_norm,"(8192, 8192)/(8192,)",triton,0.90829,0.90924,0.00554,1098.53,194.91
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,rms_norm,"(8192, 8192)/(8192,)",tilelang,187.10426,187.11097,0.68222,5.33,0.95
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,swiglu,"(512, 8192)",eager,0.03981,0.03978,0.0008,100.0,135.52
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,swiglu,"(512, 8192)",fused,0.05395,0.05427,0.00221,73.79,100.0
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,swiglu,"(512, 8192)",triton,0.04096,0.041,0.00135,97.19,131.71
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,swiglu,"(512, 8192)",tilelang,0.04288,0.0433,0.0021,92.84,125.82
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,swiglu,"(4096, 32768)",eager,3.44269,3.44229,0.006,100.0,88.61
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,swiglu,"(4096, 32768)",fused,3.0505,3.05269,0.01394,112.86,100.0
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,swiglu,"(4096, 32768)",triton,1.29331,1.29326,0.00383,266.19,235.87
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,swiglu,"(4096, 32768)",tilelang,3.4263,3.42456,0.01031,100.48,89.03
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,softmax,"(512, 1024)",eager,0.00893,0.00895,0.001,100.0,642.11
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,softmax,"(512, 1024)",fused,0.05734,0.05758,0.00325,15.57,100.0
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,softmax,"(512, 1024)",triton,0.02448,0.02524,0.00283,36.48,234.23
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,softmax,"(512, 1024)",tilelang,2.08774,2.08322,0.02813,0.43,2.75
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,softmax,"(4096, 32768)",eager,1.75101,1.75089,0.00461,100.0,205.98
NVIDIA RTX 4000 Ada Generation,sm_89,2026-05-25T23:40:16+00:00,softmax,"(4096, 32768)",fused,3.60672,3.61085,0.02251,48.55,100.0
