target,kernel,set,rc,metric,label,value,unit
argmax_tilelang_large,func_kernel,l2dram,RC2b,dram__bytes_read.sum,DRAM read bytes,"1,074,232,064",byte
argmax_tilelang_large,func_kernel,l2dram,RC2b,dram__throughput.avg.pct_of_peak_sustained_elapsed,DRAM thru %,10.19,%
argmax_tilelang_large,func_kernel,l2dram,ref,gpu__time_duration.sum,kernel time (ns),"30,896,704",ns
argmax_tilelang_large,func_kernel,l2dram,RC2b,lts__t_sector_hit_rate.pct,L2 hit %,0.64,%
argmax_tilelang_large,func_kernel,loads,RC1,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,sectors/req (↑=less vectorized),16.00,sector/1
argmax_tilelang_large,func_kernel,loads,RC1,smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,bytes/sector load eff %,12.50,%
argmax_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum,local-ld bytes (spill),0,byte
argmax_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_st.sum,local-st bytes (spill),0,byte
argmax_tilelang_large,func_kernel,regs,RC3,launch__occupancy_limit_registers,occ limit (reg) %,6,block
argmax_tilelang_large,func_kernel,regs,RC3,launch__registers_per_thread,regs/thread,39,register/thread
argmax_tilelang_large,func_kernel,regs,RC3,sm__warps_active.avg.pct_of_peak_sustained_active,achieved occ %,80.66,%
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,stall barrier (sync),0,inst
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,stall long_scoreboard,27.44,inst
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,stall membar,0,inst
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,stall mio_throttle,0.00,inst
argmax_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,stall short_scoreboard,0.00,inst
conv2d_triton_large,conv2d_forward_kernel,l2dram,RC2b,dram__bytes_read.sum,DRAM read bytes,"2,166,310,528",byte
conv2d_triton_large,conv2d_forward_kernel,l2dram,RC2b,dram__throughput.avg.pct_of_peak_sustained_elapsed,DRAM thru %,19.46,%
conv2d_triton_large,conv2d_forward_kernel,l2dram,ref,gpu__time_duration.sum,kernel time (ns),"36,579,712",ns
conv2d_triton_large,conv2d_forward_kernel,l2dram,RC2b,lts__t_sector_hit_rate.pct,L2 hit %,95.22,%
conv2d_triton_large,conv2d_forward_kernel,loads,RC1,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,sectors/req (↑=less vectorized),5.61,sector/1
conv2d_triton_large,conv2d_forward_kernel,loads,RC1,smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,bytes/sector load eff %,36.35,%
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum,local-ld bytes (spill),0,byte
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_st.sum,local-st bytes (spill),0,byte
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,launch__occupancy_limit_registers,occ limit (reg) %,4,block
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,launch__registers_per_thread,regs/thread,128,register/thread
conv2d_triton_large,conv2d_forward_kernel,regs,RC3,sm__warps_active.avg.pct_of_peak_sustained_active,achieved occ %,33.26,%
conv2d_triton_large,conv2d_forward_kernel,stalls,RC0,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,stall barrier (sync),1.54,inst
conv2d_triton_large,conv2d_forward_kernel,stalls,RC0,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,stall long_scoreboard,10.18,inst
conv2d_triton_large,conv2d_forward_kernel,stalls,RC0,smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,stall membar,0,inst
conv2d_triton_large,conv2d_forward_kernel,stalls,RC0,smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,stall mio_throttle,1.16,inst
conv2d_triton_large,conv2d_forward_kernel,stalls,RC0,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,stall short_scoreboard,0.39,inst
layer_norm_tilelang_large,func_kernel,l2dram,RC2b,dram__bytes_read.sum,DRAM read bytes,"48,986,651,776",byte
layer_norm_tilelang_large,func_kernel,l2dram,RC2b,dram__throughput.avg.pct_of_peak_sustained_elapsed,DRAM thru %,90.23,%
layer_norm_tilelang_large,func_kernel,l2dram,ref,gpu__time_duration.sum,kernel time (ns),"271,161,024",ns
layer_norm_tilelang_large,func_kernel,l2dram,RC2b,lts__t_sector_hit_rate.pct,L2 hit %,53.08,%
layer_norm_tilelang_large,func_kernel,loads,RC1,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,sectors/req (↑=less vectorized),1,sector/1
layer_norm_tilelang_large,func_kernel,loads,RC1,smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,bytes/sector load eff %,50,%
layer_norm_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum,local-ld bytes (spill),"51,538,558,976",byte
layer_norm_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_st.sum,local-st bytes (spill),"34,359,738,368",byte
layer_norm_tilelang_large,func_kernel,regs,RC3,launch__occupancy_limit_registers,occ limit (reg) %,8,block
layer_norm_tilelang_large,func_kernel,regs,RC3,launch__registers_per_thread,regs/thread,254,register/thread
layer_norm_tilelang_large,func_kernel,regs,RC3,sm__warps_active.avg.pct_of_peak_sustained_active,achieved occ %,16.50,%
layer_norm_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,stall barrier (sync),0,inst
layer_norm_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,stall long_scoreboard,104.91,inst
layer_norm_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,stall membar,0,inst
layer_norm_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,stall mio_throttle,0.00,inst
layer_norm_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,stall short_scoreboard,1.57,inst
