kernel,size,E_tri_ada,E_tri_tuned_ada,E_tri_a100,E_tri_tuned_a100,E_tl_ada,E_tl_tuned_ada,E_tl_a100,E_tl_tuned_a100
add,large,103.5,103.5,94.3,94.5,77.2,77.3,74.3,67.9
add,small,43.0,43.0,48.8,47.8,31.5,31.5,25.1,24.8
argmax,large,73.0,71.4,7.5,28.0,6.4,6.4,9.2,10.5
argmax,small,29.0,29.1,6.6,25.7,9.8,9.8,11.9,18.3
attention,large,1932.7,1917.7,5490.4,5800.8,68.9,69.2,58.5,57.7
attention,small,25098.6,24889.1,19803.6,63176.8,68.7,68.2,58.6,58.3
batched_matmul,large,58.2,58.2,94.6,60.3,10.7,10.7,7.7,
batched_matmul,small,77.1,75.9,78.6,78.6,26.5,26.5,39.4,
conv2d,large,36.2,34.9,23.8,35.2,9.5,9.5,14.9,11.0
conv2d,small,49.5,49.1,52.1,59.5,8.1,8.1,7.4,7.2
cross_entropy,large,1277.3,1277.8,1271.2,1168.3,85.9,84.7,75.0,22.6
cross_entropy,small,742.5,732.4,918.4,914.2,238.5,235.4,416.4,318.8
embedding,large,405.9,405.9,447.6,448.0,57.9,57.9,65.0,
embedding,small,174.4,171.2,212.2,215.2,65.4,64.6,58.8,59.5
index_select,large,84.4,85.2,70.9,40.4,97.3,97.2,51.7,54.0
index_select,small,55.7,55.3,56.7,56.8,45.6,44.8,38.1,37.8
layer_norm,large,94.5,94.5,101.2,101.5,0.3,0.3,0.1,0.0
layer_norm,small,27.6,28.3,24.2,24.5,0.6,0.6,0.8,0.4
leaky_relu,large,244.5,240.1,336.2,498.0,366.1,364.9,961.4,788.2
leaky_relu,small,263.9,258.2,345.2,598.1,363.4,361.4,957.5,637.3
linear_activation,large,51.9,51.9,72.3,167.1,199.3,199.7,350.9,221.7
linear_activation,small,343.5,301.5,143.1,362.4,125.9,126.2,122.6,108.8
log_softmax,large,76.4,76.2,32.1,48.4,16.9,16.9,16.9,17.2
log_softmax,small,22.0,23.3,21.1,20.8,25.4,25.4,16.7,16.5
logsumexp,large,620.5,620.0,512.8,513.0,549.4,560.5,139.0,440.0
logsumexp,small,54.4,53.9,46.6,47.0,147.9,148.5,104.1,111.6
matmul,large,31.7,31.7,37.8,54.6,56.9,56.4,81.1,50.7
matmul,small,50.5,49.5,47.1,38.8,53.6,53.0,32.3,36.3
matrix_transpose,large,226.1,226.0,322.2,367.0,150.2,150.4,103.1,64.3
matrix_transpose,small,132.4,127.3,105.2,98.5,114.8,118.1,73.8,57.1
max_reduction,large,12.9,12.8,11.9,12.0,5.7,5.7,4.9,5.6
max_reduction,small,33.1,33.3,32.2,31.9,8.9,8.9,8.6,17.3
mean_reduction,large,99.4,99.3,75.1,88.0,16.0,16.0,8.2,5.0
mean_reduction,small,43.5,44.4,34.4,34.6,8.5,8.5,8.8,8.9
mul,large,69.8,69.7,69.8,67.0,69.1,69.1,64.3,64.7
mul,small,41.7,41.9,44.6,43.4,36.2,36.1,28.7,28.3
relu,large,103.3,103.4,97.7,98.4,68.7,68.7,62.4,63.4
relu,small,97.0,97.0,82.1,79.3,69.9,70.0,60.7,62.1
rms_norm,large,1098.6,1098.6,965.2,966.0,5.3,5.3,0.9,0.9
rms_norm,small,152.5,157.8,173.4,172.9,2.4,2.4,4.2,4.2
softmax,large,97.6,97.7,112.9,113.1,20.1,20.1,17.4,17.4
softmax,small,49.0,47.9,39.5,39.1,0.5,0.5,0.6,0.3
swiglu,large,265.8,266.3,283.9,283.0,100.4,100.5,105.0,78.7
swiglu,small,113.4,113.1,63.6,63.7,92.8,94.7,43.2,43.4
