kernel,size,impl,input_desc,latency_ms,peak_memory_mb
add,small,pytorch,"x:(4096,) y:(4096,) fp16",0.008,10091.19
add,small,triton,"x:(4096,) y:(4096,) fp16",0.0186,10091.19
add,small,triton_tuned,"x:(4096,) y:(4096,) fp16",0.0186,10091.19
add,small,tilelang,"x:(4096,) y:(4096,) fp16",0.0254,10091.19
add,small,tilelang_tuned,"x:(4096,) y:(4096,) fp16",0.0254,10091.19
add,large,pytorch,"x:(64M,) y:(64M,) fp16",1.3258,10219.18
add,large,triton,"x:(64M,) y:(64M,) fp16",1.2815,10219.18
add,large,triton_tuned,"x:(64M,) y:(64M,) fp16",1.2815,10219.18
add,large,tilelang,"x:(64M,) y:(64M,) fp16",1.7163,10219.18
add,large,tilelang_tuned,"x:(64M,) y:(64M,) fp16",1.7142,10219.18
argmax,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0136,10091.19
argmax,small,triton,"x:(1024,1024) dim=1 fp16",0.0469,10091.19
argmax,small,triton_tuned,"x:(1024,1024) dim=1 fp16",0.0467,10091.19
argmax,small,tilelang,"x:(1024,1024) dim=1 fp16",0.1389,10095.2
argmax,small,tilelang_tuned,"x:(1024,1024) dim=1 fp16",0.1384,10095.2
argmax,large,pytorch,"x:(8192,32768) dim=1 fp16",1.6151,10091.25
argmax,large,triton,"x:(8192,32768) dim=1 fp16",2.2117,10091.25
argmax,large,triton_tuned,"x:(8192,32768) dim=1 fp16",2.2624,10091.25
argmax,large,tilelang,"x:(8192,32768) dim=1 fp16",25.0917,11115.28
argmax,large,tilelang_tuned,"x:(8192,32768) dim=1 fp16",25.1303,11115.28
attention,small,pytorch,"QKV:(8,16,512,64) fp32",122.2803,10115.38
attention,small,triton,"QKV:(8,16,512,64) fp32",0.4872,10179.31
attention,small,triton_tuned,"QKV:(8,16,512,64) fp32",0.4913,10171.18
attention,small,tilelang,"QKV:(8,16,512,64) fp32",177.9158,10107.23
attention,small,tilelang_tuned,"QKV:(8,16,512,64) fp32",179.2133,10107.23
attention,large,pytorch,"QKV:(8,32,2048,128) fp32",978.7204,10355.53
attention,large,triton,"QKV:(8,32,2048,128) fp32",50.6413,12403.31
attention,large,triton_tuned,"QKV:(8,32,2048,128) fp32",51.0349,12395.18
attention,large,tilelang,"QKV:(8,32,2048,128) fp32",1419.6571,10347.34
attention,large,tilelang_tuned,"QKV:(8,32,2048,128) fp32",1414.4868,10347.34
batched_matmul,small,pytorch,"A:(64,128) B:(64,128,128) fp16",0.0202,10099.32
batched_matmul,small,triton,"A:(64,128) B:(64,128,128) fp16",0.0262,10099.32
batched_matmul,small,triton_tuned,"A:(64,128) B:(64,128,128) fp16",0.0266,10091.2
batched_matmul,small,tilelang,"A:(64,128) B:(64,128,128) fp16",0.0762,10095.26
batched_matmul,small,tilelang_tuned,"A:(64,128) B:(64,128,128) fp16",0.0762,10095.26
batched_matmul,large,pytorch,"A:(128,2048) B:(128,2048,2048) fp16",3.2382,10099.81
batched_matmul,large,triton,"A:(128,2048) B:(128,2048,2048) fp16",5.564,10099.81
batched_matmul,large,triton_tuned,"A:(128,2048) B:(128,2048,2048) fp16",5.5657,10091.68
batched_matmul,large,tilelang,"A:(128,2048) B:(128,2048,2048) fp16",30.3185,12141.68
batched_matmul,large,tilelang_tuned,"A:(128,2048) B:(128,2048,2048) fp16",30.3194,12141.68
conv2d,small,pytorch,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0587,10109.38
